Freq.	V(out)
1.27643880881134e+002	(7.69171510400002e+000dB,-1.41911412649241e+002°)
1.27938130415752e+002	(7.69949258199915e+000dB,-1.41882830884314e+002°)
1.28233058265601e+002	(7.70728862118936e+000dB,-1.41854220299940e+002°)
1.28528665994361e+002	(7.71510324196956e+000dB,-1.41825581368318e+002°)
1.28824955169313e+002	(7.72293646447265e+000dB,-1.41796914562430e+002°)
1.29121927361353e+002	(7.73078830856552e+000dB,-1.41768220356039e+002°)
1.29419584144998e+002	(7.73865879384750e+000dB,-1.41739499223674e+002°)
1.29717927098395e+002	(7.74654793964994e+000dB,-1.41710751640630e+002°)
1.30016957803328e+002	(7.75445576503511e+000dB,-1.41681978082956e+002°)
1.30316677845229e+002	(7.76238228879555e+000dB,-1.41653179027448e+002°)
1.30617088813183e+002	(7.77032752945309e+000dB,-1.41624354951645e+002°)
1.30918192299940e+002	(7.77829150525821e+000dB,-1.41595506333818e+002°)
1.31219989901920e+002	(7.78627423418887e+000dB,-1.41566633652962e+002°)
1.31522483219223e+002	(7.79427573395020e+000dB,-1.41537737388793e+002°)
1.31825673855640e+002	(7.80229602197310e+000dB,-1.41508818021735e+002°)
1.32129563418657e+002	(7.81033511541408e+000dB,-1.41479876032914e+002°)
1.32434153519466e+002	(7.81839303115396e+000dB,-1.41450911904154e+002°)
1.32739445772973e+002	(7.82646978579737e+000dB,-1.41421926117962e+002°)
1.33045441797808e+002	(7.83456539567165e+000dB,-1.41392919157528e+002°)
1.33352143216332e+002	(7.84267987682663e+000dB,-1.41363891506711e+002°)
1.33659551654643e+002	(7.85081324503320e+000dB,-1.41334843650033e+002°)
1.33967668742593e+002	(7.85896551578310e+000dB,-1.41305776072674e+002°)
1.34276496113786e+002	(7.86713670428777e+000dB,-1.41276689260460e+002°)
1.34586035405594e+002	(7.87532682547809e+000dB,-1.41247583699855e+002°)
1.34896288259165e+002	(7.88353589400302e+000dB,-1.41218459877958e+002°)
1.35207256319427e+002	(7.89176392422929e+000dB,-1.41189318282487e+002°)
1.35518941235103e+002	(7.90001093024063e+000dB,-1.41160159401779e+002°)
1.35831344658715e+002	(7.90827692583689e+000dB,-1.41130983724775e+002°)
1.36144468246594e+002	(7.91656192453355e+000dB,-1.41101791741016e+002°)
1.36458313658892e+002	(7.92486593956088e+000dB,-1.41072583940633e+002°)
1.36772882559584e+002	(7.93318898386321e+000dB,-1.41043360814340e+002°)
1.37088176616484e+002	(7.94153107009842e+000dB,-1.41014122853422e+002°)
1.37404197501251e+002	(7.94989221063701e+000dB,-1.40984870549733e+002°)
1.37720946889394e+002	(7.95827241756173e+000dB,-1.40955604395681e+002°)
1.38038426460288e+002	(7.96667170266662e+000dB,-1.40926324884223e+002°)
1.38356637897177e+002	(7.97509007745655e+000dB,-1.40897032508857e+002°)
1.38675582887188e+002	(7.98352755314660e+000dB,-1.40867727763610e+002°)
1.38995263121334e+002	(7.99198414066117e+000dB,-1.40838411143033e+002°)
1.39315680294529e+002	(8.00045985063380e+000dB,-1.40809083142193e+002°)
1.39636836105593e+002	(8.00895469340587e+000dB,-1.40779744256659e+002°)
1.39958732257261e+002	(8.01746867902670e+000dB,-1.40750394982499e+002°)
1.40281370456195e+002	(8.02600181725252e+000dB,-1.40721035816267e+002°)
1.40604752412990e+002	(8.03455411754599e+000dB,-1.40691667254998e+002°)
1.40928879842186e+002	(8.04312558907572e+000dB,-1.40662289796198e+002°)
1.41253754462274e+002	(8.05171624071517e+000dB,-1.40632903937832e+002°)
1.41579377995707e+002	(8.06032608104291e+000dB,-1.40603510178319e+002°)
1.41905752168908e+002	(8.06895511834147e+000dB,-1.40574109016523e+002°)
1.42232878712281e+002	(8.07760336059691e+000dB,-1.40544700951741e+002°)
1.42560759360218e+002	(8.08627081549825e+000dB,-1.40515286483697e+002°)
1.42889395851109e+002	(8.09495749043705e+000dB,-1.40485866112532e+002°)
1.43218789927353e+002	(8.10366339250687e+000dB,-1.40456440338795e+002°)
1.43548943335365e+002	(8.11238852850255e+000dB,-1.40427009663432e+002°)
1.43879857825583e+002	(8.12113290491982e+000dB,-1.40397574587781e+002°)
1.44211535152486e+002	(8.12989652795502e+000dB,-1.40368135613559e+002°)
1.44543977074592e+002	(8.13867940350411e+000dB,-1.40338693242857e+002°)
1.44877185354475e+002	(8.14748153716258e+000dB,-1.40309247978126e+002°)
1.45211161758773e+002	(8.15630293422501e+000dB,-1.40279800322171e+002°)
1.45545908058195e+002	(8.16514359968417e+000dB,-1.40250350778140e+002°)
1.45881426027534e+002	(8.17400353823105e+000dB,-1.40220899849517e+002°)
1.46217717445671e+002	(8.18288275425407e+000dB,-1.40191448040111e+002°)
1.46554784095590e+002	(8.19178125183882e+000dB,-1.40161995854047e+002°)
1.46892627764385e+002	(8.20069903476758e+000dB,-1.40132543795755e+002°)
1.47231250243271e+002	(8.20963610651875e+000dB,-1.40103092369967e+002°)
1.47570653327588e+002	(8.21859247026676e+000dB,-1.40073642081697e+002°)
1.47910838816819e+002	(8.22756812888144e+000dB,-1.40044193436243e+002°)
1.48251808514594e+002	(8.23656308492745e+000dB,-1.40014746939169e+002°)
1.48593564228699e+002	(8.24557734066436e+000dB,-1.39985303096299e+002°)
1.48936107771090e+002	(8.25461089804589e+000dB,-1.39955862413709e+002°)
1.49279440957898e+002	(8.26366375871958e+000dB,-1.39926425397713e+002°)
1.49623565609442e+002	(8.27273592402673e+000dB,-1.39896992554860e+002°)
1.49968483550236e+002	(8.28182739500156e+000dB,-1.39867564391916e+002°)
1.50314196609001e+002	(8.29093817237136e+000dB,-1.39838141415864e+002°)
1.50660706618673e+002	(8.30006825655583e+000dB,-1.39808724133887e+002°)
1.51008015416413e+002	(8.30921764766683e+000dB,-1.39779313053360e+002°)
1.51356124843619e+002	(8.31838634550822e+000dB,-1.39749908681843e+002°)
1.51705036745932e+002	(8.32757434957533e+000dB,-1.39720511527071e+002°)
1.52054752973248e+002	(8.33678165905479e+000dB,-1.39691122096940e+002°)
1.52405275379728e+002	(8.34600827282432e+000dB,-1.39661740899502e+002°)
1.52756605823806e+002	(8.35525418945222e+000dB,-1.39632368442955e+002°)
1.53108746168202e+002	(8.36451940719732e+000dB,-1.39603005235629e+002°)
1.53461698279928e+002	(8.37380392400870e+000dB,-1.39573651785983e+002°)
1.53815464030302e+002	(8.38310773752529e+000dB,-1.39544308602588e+002°)
1.54170045294954e+002	(8.39243084507580e+000dB,-1.39514976194123e+002°)
1.54525443953840e+002	(8.40177324367847e+000dB,-1.39485655069364e+002°)
1.54881661891247e+002	(8.41113493004072e+000dB,-1.39456345737171e+002°)
1.55238700995807e+002	(8.42051590055904e+000dB,-1.39427048706481e+002°)
1.55596563160506e+002	(8.42991615131890e+000dB,-1.39397764486300e+002°)
1.55955250282694e+002	(8.43933567809433e+000dB,-1.39368493585687e+002°)
1.56314764264094e+002	(8.44877447634789e+000dB,-1.39339236513753e+002°)
1.56675107010813e+002	(8.45823254123057e+000dB,-1.39309993779642e+002°)
1.57036280433354e+002	(8.46770986758136e+000dB,-1.39280765892528e+002°)
1.57398286446620e+002	(8.47720644992732e+000dB,-1.39251553361601e+002°)
1.57761126969933e+002	(8.48672228248356e+000dB,-1.39222356696061e+002°)
1.58124803927037e+002	(8.49625735915274e+000dB,-1.39193176405104e+002°)
1.58489319246110e+002	(8.50581167352516e+000dB,-1.39164012997915e+002°)
1.58854674859776e+002	(8.51538521887885e+000dB,-1.39134866983655e+002°)
1.59220872705115e+002	(8.52497798817896e+000dB,-1.39105738871457e+002°)
1.59587914723672e+002	(8.53458997407821e+000dB,-1.39076629170410e+002°)
1.59955802861465e+002	(8.54422116891647e+000dB,-1.39047538389551e+002°)
1.60324539069002e+002	(8.55387156472071e+000dB,-1.39018467037857e+002°)
1.60694125301286e+002	(8.56354115320528e+000dB,-1.38989415624234e+002°)
1.61064563517825e+002	(8.57322992577123e+000dB,-1.38960384657505e+002°)
1.61435855682647e+002	(8.58293787350682e+000dB,-1.38931374646402e+002°)
1.61808003764305e+002	(8.59266498718737e+000dB,-1.38902386099559e+002°)
1.62181009735891e+002	(8.60241125727510e+000dB,-1.38873419525494e+002°)
1.62554875575047e+002	(8.61217667391903e+000dB,-1.38844475432609e+002°)
1.62929603263970e+002	(8.62196122695539e+000dB,-1.38815554329173e+002°)
1.63305194789432e+002	(8.63176490590724e+000dB,-1.38786656723313e+002°)
1.63681652142779e+002	(8.64158769998464e+000dB,-1.38757783123007e+002°)
1.64058977319952e+002	(8.65142959808448e+000dB,-1.38728934036072e+002°)
1.64437172321491e+002	(8.66129058879087e+000dB,-1.38700109970156e+002°)
1.64816239152549e+002	(8.67117066037508e+000dB,-1.38671311432723e+002°)
1.65196179822900e+002	(8.68106980079533e+000dB,-1.38642538931050e+002°)
