time	V(n002)
1.783428308619987e-005	1.715644e+000
1.784245157023513e-005	1.715640e+000
1.785062005427039e-005	1.715631e+000
1.785878853830564e-005	1.715617e+000
1.786695702234090e-005	1.715598e+000
1.787512550637616e-005	1.715574e+000
1.788329399041142e-005	1.715546e+000
1.789146247444667e-005	1.715513e+000
1.794864884345146e-005	1.715059e+000
1.806302158146103e-005	1.712483e+000
1.829176705747844e-005	1.695583e+000
1.869176705747780e-005	1.617584e+000
1.909176705747716e-005	1.447438e+000
1.949176705747652e-005	1.141022e+000
1.989176705747588e-005	6.777849e-001
2.029176705747524e-005	6.784882e-002
2.069176705747459e-005	-6.433501e-001
2.109176705747395e-005	-1.380237e+000
2.149176705747331e-005	-2.050616e+000
2.189176705747267e-005	-2.580420e+000
2.217223071166591e-005	-2.831126e+000
2.233901956297073e-005	-2.909407e+000
2.251762579465362e-005	-2.929827e+000
2.267870018167473e-005	-2.891104e+000
2.294074504670396e-005	-2.713873e+000
2.334074504670332e-005	-2.258313e+000
2.374074504670268e-005	-1.636613e+000
2.414074504670204e-005	-9.137393e-001
2.454074504670140e-005	-1.845501e-001
2.494074504670076e-005	4.680399e-001
2.534074504670011e-005	9.873465e-001
2.574074504669947e-005	1.350809e+000
2.614074504669883e-005	1.567939e+000
2.654074504669819e-005	1.686148e+000
2.659074504669790e-005	1.694032e+000
2.669074504669730e-005	1.702095e+000
2.689074504669785e-005	1.710879e+000
2.717184533387353e-005	1.715289e+000
2.733854098055030e-005	1.715756e+000
2.751677594021139e-005	1.715723e+000
2.770996398274682e-005	1.715688e+000
2.782729130823905e-005	1.715667e+000
2.782780142704562e-005	1.715667e+000
2.782882166465876e-005	1.715666e+000
2.782907672406118e-005	1.715666e+000
2.782958684286775e-005	1.715666e+000
2.783060708048089e-005	1.715666e+000
2.783264755570718e-005	1.715665e+000
2.783672850615974e-005	1.715663e+000
2.783689588889415e-005	1.715663e+000
2.784622149832516e-005	1.715657e+000
2.785554710775617e-005	1.715643e+000
2.786487271718717e-005	1.715623e+000
2.787419832661818e-005	1.715596e+000
2.788352393604918e-005	1.715562e+000
2.789284954548019e-005	1.715522e+000
2.790217515491120e-005	1.715475e+000
2.796747036214187e-005	1.714828e+000
2.809806077660147e-005	1.711074e+000
2.835924160552068e-005	1.687714e+000
2.875924160552004e-005	1.596766e+000
2.915924160551940e-005	1.405876e+000
2.955924160551876e-005	1.073526e+000
2.995924160551812e-005	5.837168e-001
3.035924160551748e-005	-4.753818e-002
3.075924160551684e-005	-7.691699e-001
3.115924160551620e-005	-1.501598e+000
3.155924160551556e-005	-2.151310e+000
3.195924160551492e-005	-2.653730e+000
3.219756746299617e-005	-2.848857e+000
3.237046760476946e-005	-2.913719e+000
3.260176538764405e-005	-2.910226e+000
3.281566290528649e-005	-2.813761e+000
3.316270196713350e-005	-2.487298e+000
3.356270196713286e-005	-1.932193e+000
3.396270196713222e-005	-1.242807e+000
3.436270196713158e-005	-5.050064e-001
3.476270196713094e-005	1.905717e-001
3.516270196713030e-005	7.742831e-001
3.556270196712966e-005	1.207920e+000
3.596270196712902e-005	1.487595e+000
3.636270196712838e-005	1.637288e+000
