#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
7.20E-05,-1.180
7.22E-05,-1.200
7.24E-05,-1.200
7.26E-05,-1.180
7.28E-05,-1.180
7.30E-05,-1.160
7.32E-05,-1.180
7.34E-05,-1.160
7.36E-05,-1.140
7.38E-05,-1.120
7.40E-05,-1.120
7.42E-05,-1.140
7.44E-05,-1.100
7.46E-05,-1.120
7.48E-05,-1.080
7.50E-05,-1.080
7.52E-05,-1.080
7.54E-05,-1.040
7.56E-05,-1.040
7.58E-05,-1.060
7.60E-05,-1.040
7.62E-05,-1.060
7.64E-05,-1.000
7.66E-05,-1.000
7.68E-05,-1.020
7.70E-05,-0.960
7.72E-05,-1.000
7.74E-05,-0.960
7.76E-05,-0.980
7.78E-05,-0.920
7.80E-05,-0.940
7.82E-05,-0.940
7.84E-05,-0.940
7.86E-05,-0.920
7.88E-05,-0.900
7.90E-05,-0.860
7.92E-05,-0.860
7.94E-05,-0.860
7.96E-05,-0.840
7.98E-05,-0.860
8.00E-05,-0.840
8.02E-05,-0.820
8.04E-05,-0.840
8.06E-05,-0.780
8.08E-05,-0.800
8.10E-05,-0.800
8.12E-05,-0.760
8.14E-05,-0.780
8.16E-05,-0.720
8.18E-05,-0.800
8.20E-05,-0.720
8.22E-05,-0.700
8.24E-05,-0.740
8.26E-05,-0.680
8.28E-05,-0.680
8.30E-05,-0.680
8.32E-05,-0.680
8.34E-05,-0.660
8.36E-05,-0.640
8.38E-05,-0.620
8.40E-05,-0.640
8.42E-05,-0.600
8.44E-05,-0.580
8.46E-05,-0.600
8.48E-05,-0.560
8.50E-05,-0.600
8.52E-05,-0.560
8.54E-05,-0.540
8.56E-05,-0.520
8.58E-05,-0.520
8.60E-05,-0.500
8.62E-05,-0.500
8.64E-05,-0.480
8.66E-05,-0.460
8.68E-05,-0.440
8.70E-05,-0.460
8.72E-05,-0.440
8.74E-05,-0.440
8.76E-05,-0.400
8.78E-05,-0.400
8.80E-05,-0.380
8.82E-05,-0.380
8.84E-05,-0.380
8.86E-05,-0.360
8.88E-05,-0.320
8.90E-05,-0.360
8.92E-05,-0.300
8.94E-05,-0.320
8.96E-05,-0.300
8.98E-05,-0.280
9.00E-05,-0.300
9.02E-05,-0.260
9.04E-05,-0.240
9.06E-05,-0.260
9.08E-05,-0.220
9.10E-05,-0.280
9.12E-05,-0.180
9.14E-05,-0.160
9.16E-05,-0.200
9.18E-05,-0.180
9.20E-05,-0.140
9.22E-05,-0.200
9.24E-05,-0.180
9.26E-05,-0.160
9.28E-05,-0.080
9.30E-05,-0.120
9.32E-05,-0.120
9.34E-05,-0.080
9.36E-05,-0.080
9.38E-05,-0.040
9.40E-05,-0.060
9.42E-05,-0.020
9.44E-05,-0.040
9.46E-05,-0.020
9.48E-05,0.000
9.50E-05,-0.020
9.52E-05,0.000
9.54E-05,0.040
9.56E-05,0.040
9.58E-05,0.060
9.60E-05,0.020
9.62E-05,0.060
9.64E-05,0.080
9.66E-05,0.080
9.68E-05,0.100
9.70E-05,0.120
9.72E-05,0.120
9.74E-05,0.100
9.76E-05,0.120
9.78E-05,0.140
9.80E-05,0.160
9.82E-05,0.140
9.84E-05,0.220
9.86E-05,0.180
9.88E-05,0.180
9.90E-05,0.200
9.92E-05,0.200
9.94E-05,0.280
9.96E-05,0.200
9.98E-05,0.220
1.00E-04,0.260
1.00E-04,0.240
1.00E-04,0.300
1.01E-04,0.300
1.01E-04,0.300
1.01E-04,0.320
1.01E-04,0.300
1.01E-04,0.320
1.02E-04,0.360
1.02E-04,0.340
1.02E-04,0.380
1.02E-04,0.360
1.02E-04,0.360
1.03E-04,0.360
1.03E-04,0.420
1.03E-04,0.420
1.03E-04,0.420
1.03E-04,0.440
1.04E-04,0.460
1.04E-04,0.460
1.04E-04,0.440
1.04E-04,0.460
1.04E-04,0.500
1.05E-04,0.500
1.05E-04,0.480
1.05E-04,0.540
1.05E-04,0.500
1.05E-04,0.540
1.06E-04,0.520
1.06E-04,0.520
1.06E-04,0.560
1.06E-04,0.540
1.06E-04,0.560
1.07E-04,0.580
1.07E-04,0.580
1.07E-04,0.600
1.07E-04,0.580
1.07E-04,0.600
1.08E-04,0.620
1.08E-04,0.640
1.08E-04,0.620
1.08E-04,0.660
1.08E-04,0.660
1.09E-04,0.680
1.09E-04,0.620
1.09E-04,0.700
1.09E-04,0.700
1.09E-04,0.700
1.10E-04,0.700
1.10E-04,0.700
1.10E-04,0.680
1.10E-04,0.720
1.10E-04,0.740
1.11E-04,0.740
1.11E-04,0.740
1.11E-04,0.760
1.11E-04,0.760
1.11E-04,0.760
1.12E-04,0.760
1.12E-04,0.780
1.12E-04,0.820
1.12E-04,0.800
1.12E-04,0.780
1.13E-04,0.800
1.13E-04,0.820
1.13E-04,0.840
1.13E-04,0.820
1.13E-04,0.800
1.14E-04,0.820
1.14E-04,0.860
1.14E-04,0.880
1.14E-04,0.880
1.14E-04,0.860
