#timebase=40000000(ps)
,#voltbase=100000(uV)
7.08E-05,-1.440
7.10E-05,-1.420
7.12E-05,-1.420
7.14E-05,-1.440
7.16E-05,-1.400
7.18E-05,-1.440
7.20E-05,-1.380
7.22E-05,-1.380
7.24E-05,-1.380
7.26E-05,-1.340
7.28E-05,-1.340
7.30E-05,-1.360
7.32E-05,-1.340
7.34E-05,-1.340
7.36E-05,-1.360
7.38E-05,-1.320
7.40E-05,-1.280
7.42E-05,-1.320
7.44E-05,-1.280
7.46E-05,-1.320
7.48E-05,-1.240
7.50E-05,-1.220
7.52E-05,-1.240
7.54E-05,-1.280
7.56E-05,-1.260
7.58E-05,-1.220
7.60E-05,-1.220
7.62E-05,-1.220
7.64E-05,-1.180
7.66E-05,-1.200
7.68E-05,-1.180
7.70E-05,-1.180
7.72E-05,-1.160
7.74E-05,-1.160
7.76E-05,-1.140
7.78E-05,-1.120
7.80E-05,-1.120
7.82E-05,-1.120
7.84E-05,-1.120
7.86E-05,-1.100
7.88E-05,-1.080
7.90E-05,-1.100
7.92E-05,-1.060
7.94E-05,-1.040
7.96E-05,-1.020
7.98E-05,-1.020
8.00E-05,-1.020
8.02E-05,-1.000
8.04E-05,-0.960
8.06E-05,-0.980
8.08E-05,-0.960
8.10E-05,-0.940
8.12E-05,-0.920
8.14E-05,-0.940
8.16E-05,-0.940
8.18E-05,-0.900
8.20E-05,-0.900
8.22E-05,-0.900
8.24E-05,-0.900
8.26E-05,-0.860
8.28E-05,-0.840
8.30E-05,-0.820
8.32E-05,-0.840
8.34E-05,-0.780
8.36E-05,-0.780
8.38E-05,-0.800
8.40E-05,-0.760
8.42E-05,-0.740
8.44E-05,-0.720
8.46E-05,-0.760
8.48E-05,-0.760
8.50E-05,-0.700
8.52E-05,-0.720
8.54E-05,-0.700
8.56E-05,-0.680
8.58E-05,-0.680
8.60E-05,-0.660
8.62E-05,-0.620
8.64E-05,-0.620
8.66E-05,-0.620
8.68E-05,-0.600
8.70E-05,-0.600
8.72E-05,-0.600
8.74E-05,-0.540
8.76E-05,-0.560
8.78E-05,-0.520
8.80E-05,-0.560
8.82E-05,-0.500
8.84E-05,-0.520
8.86E-05,-0.500
8.88E-05,-0.460
8.90E-05,-0.460
8.92E-05,-0.440
8.94E-05,-0.480
8.96E-05,-0.480
8.98E-05,-0.420
9.00E-05,-0.420
9.02E-05,-0.440
9.04E-05,-0.400
9.06E-05,-0.380
9.08E-05,-0.340
9.10E-05,-0.400
9.12E-05,-0.300
9.14E-05,-0.300
9.16E-05,-0.300
9.18E-05,-0.300
9.20E-05,-0.260
9.22E-05,-0.220
9.24E-05,-0.240
9.26E-05,-0.280
9.28E-05,-0.220
9.30E-05,-0.180
9.32E-05,-0.200
9.34E-05,-0.180
9.36E-05,-0.160
9.38E-05,-0.140
9.40E-05,-0.140
9.42E-05,-0.140
9.44E-05,-0.140
9.46E-05,-0.140
9.48E-05,-0.080
9.50E-05,-0.080
9.52E-05,-0.060
9.54E-05,-0.060
9.56E-05,-0.060
9.58E-05,-0.060
9.60E-05,0.000
9.62E-05,0.000
9.64E-05,0.020
9.66E-05,-0.020
9.68E-05,0.020
9.70E-05,0.040
9.72E-05,0.060
9.74E-05,0.020
9.76E-05,0.060
9.78E-05,0.100
9.80E-05,0.100
9.82E-05,0.120
9.84E-05,0.120
9.86E-05,0.160
9.88E-05,0.100
9.90E-05,0.140
9.92E-05,0.140
9.94E-05,0.200
9.96E-05,0.180
9.98E-05,0.240
1.00E-04,0.200
1.00E-04,0.240
1.00E-04,0.260
1.01E-04,0.220
1.01E-04,0.200
1.01E-04,0.260
1.01E-04,0.260
1.01E-04,0.300
1.02E-04,0.280
1.02E-04,0.320
1.02E-04,0.320
1.02E-04,0.340
1.02E-04,0.340
1.03E-04,0.320
1.03E-04,0.360
1.03E-04,0.360
1.03E-04,0.380
1.03E-04,0.360
1.04E-04,0.420
1.04E-04,0.440
1.04E-04,0.440
1.04E-04,0.460
1.04E-04,0.440
1.05E-04,0.460
1.05E-04,0.500
1.05E-04,0.460
1.05E-04,0.500
1.05E-04,0.500
1.06E-04,0.500
1.06E-04,0.560
1.06E-04,0.540
1.06E-04,0.500
1.06E-04,0.540
1.07E-04,0.540
1.07E-04,0.580
1.07E-04,0.580
1.07E-04,0.580
1.07E-04,0.620
1.08E-04,0.600
1.08E-04,0.660
1.08E-04,0.600
1.08E-04,0.660
1.08E-04,0.660
1.09E-04,0.660
1.09E-04,0.660
1.09E-04,0.680
1.09E-04,0.660
1.09E-04,0.700
1.10E-04,0.680
1.10E-04,0.700
1.10E-04,0.720
1.10E-04,0.700
1.10E-04,0.720
1.11E-04,0.760
1.11E-04,0.740
1.11E-04,0.760
1.11E-04,0.780
1.11E-04,0.800
1.12E-04,0.740
1.12E-04,0.800
1.12E-04,0.800
1.12E-04,0.800
1.12E-04,0.840
1.13E-04,0.840
1.13E-04,0.860
1.13E-04,0.820
1.13E-04,0.840
1.13E-04,0.860
1.14E-04,0.840
1.14E-04,0.860
1.14E-04,0.860
1.14E-04,0.880
1.14E-04,0.860
1.15E-04,0.900
1.15E-04,0.900
1.15E-04,0.880
1.15E-04,0.900
1.15E-04,0.920
1.16E-04,0.920
1.16E-04,0.960
1.16E-04,0.940
1.16E-04,0.960
1.16E-04,0.920
1.17E-04,0.960
1.17E-04,0.980
1.17E-04,0.980
1.17E-04,0.940
1.17E-04,0.960
1.18E-04,1.000
1.18E-04,1.040
1.18E-04,1.020
1.18E-04,1.040
1.18E-04,1.000
1.19E-04,1.060
1.19E-04,1.020
1.19E-04,1.020
1.19E-04,1.040
1.19E-04,1.040
1.20E-04,1.040
1.20E-04,1.060
1.20E-04,1.040
1.20E-04,1.080
1.20E-04,1.040
1.21E-04,1.080
1.21E-04,1.060
1.21E-04,1.100
1.21E-04,1.120
1.21E-04,1.100
1.22E-04,1.080
1.22E-04,1.140
1.22E-04,1.120
1.22E-04,1.140
1.22E-04,1.140
1.23E-04,1.140
1.23E-04,1.120
1.23E-04,1.140
1.23E-04,1.160
1.23E-04,1.160
1.24E-04,1.140
1.24E-04,1.140
1.24E-04,1.140
1.24E-04,1.160
1.24E-04,1.160
1.25E-04,1.160
1.25E-04,1.180
1.25E-04,1.180
1.25E-04,1.200
1.25E-04,1.220
1.26E-04,1.160
1.26E-04,1.160
1.26E-04,1.180
1.26E-04,1.160
1.26E-04,1.200
1.27E-04,1.200
1.27E-04,1.200
1.27E-04,1.240
1.27E-04,1.200
1.27E-04,1.240
1.28E-04,1.220
1.28E-04,1.220
1.28E-04,1.240
1.28E-04,1.240
1.28E-04,1.240
1.29E-04,1.200
1.29E-04,1.260
1.29E-04,1.220
1.29E-04,1.240
1.29E-04,1.260
1.30E-04,1.240
1.30E-04,1.240
1.30E-04,1.260
1.30E-04,1.260
1.30E-04,1.280
1.31E-04,1.260
1.31E-04,1.280
1.31E-04,1.260
1.31E-04,1.240
1.31E-04,1.260
1.32E-04,1.260
1.32E-04,1.260
1.32E-04,1.260
1.32E-04,1.320
1.32E-04,1.320
1.33E-04,1.280
1.33E-04,1.280
1.33E-04,1.280
1.33E-04,1.300
1.33E-04,1.320
1.34E-04,1.300
1.34E-04,1.280
1.34E-04,1.320
1.34E-04,1.320
1.34E-04,1.300
1.35E-04,1.320
1.35E-04,1.340
1.35E-04,1.320
1.35E-04,1.320
1.35E-04,1.340
1.36E-04,1.320
1.36E-04,1.320
1.36E-04,1.340
1.36E-04,1.340
1.36E-04,1.340
1.37E-04,1.340
1.37E-04,1.320
1.37E-04,1.360
1.37E-04,1.320
1.37E-04,1.320
1.38E-04,1.320
1.38E-04,1.360
1.38E-04,1.320
1.38E-04,1.320
1.38E-04,1.340
1.39E-04,1.320
1.39E-04,1.340
1.39E-04,1.360
1.39E-04,1.340
1.39E-04,1.340
1.40E-04,1.300
1.40E-04,1.360
1.40E-04,1.340
1.40E-04,1.340
1.40E-04,1.320
1.41E-04,1.360
1.41E-04,1.340
1.41E-04,1.360
1.41E-04,1.400
1.41E-04,1.320
1.42E-04,1.360
1.42E-04,1.380
1.42E-04,1.380
1.42E-04,1.320
1.42E-04,1.360
1.43E-04,1.360
1.43E-04,1.360
1.43E-04,1.360
1.43E-04,1.380
1.43E-04,1.380
1.44E-04,1.340
1.44E-04,1.380
1.44E-04,1.400
1.44E-04,1.400
1.44E-04,1.400
1.45E-04,1.420
1.45E-04,1.360
1.45E-04,1.360
1.45E-04,1.360
1.45E-04,1.380
1.46E-04,1.340
1.46E-04,1.380
1.46E-04,1.360
1.46E-04,1.380
1.46E-04,1.360
1.47E-04,1.380
1.47E-04,1.400
1.47E-04,1.360
1.47E-04,1.360
1.47E-04,1.340
1.48E-04,1.360
1.48E-04,1.400
1.48E-04,1.360
1.48E-04,1.380
1.48E-04,1.400
1.49E-04,1.360
1.49E-04,1.380
1.49E-04,1.340
1.49E-04,1.360
1.49E-04,1.420
1.50E-04,1.380
1.50E-04,1.360
1.50E-04,1.400
1.50E-04,1.360
1.50E-04,1.360
1.51E-04,1.360
1.51E-04,1.380
1.51E-04,1.400
1.51E-04,1.340
1.51E-04,1.380
1.52E-04,1.380
1.52E-04,1.360
1.52E-04,1.380
1.52E-04,1.420
1.52E-04,1.360
1.53E-04,1.380
1.53E-04,1.380
1.53E-04,1.360
1.53E-04,1.380
1.53E-04,1.360
1.54E-04,1.400
1.54E-04,1.360
1.54E-04,1.400
1.54E-04,1.380
1.54E-04,1.420
1.55E-04,1.340
1.55E-04,1.360
1.55E-04,1.360
1.55E-04,1.340
1.55E-04,1.380
1.56E-04,1.360
1.56E-04,1.340
1.56E-04,1.380
1.56E-04,1.340
1.56E-04,1.360
1.57E-04,1.360
1.57E-04,1.420
1.57E-04,1.340
1.57E-04,1.380
1.57E-04,1.380
1.58E-04,1.340
1.58E-04,1.400
1.58E-04,1.320
1.58E-04,1.380
1.58E-04,1.340
1.59E-04,1.360
1.59E-04,1.360
1.59E-04,1.380
1.59E-04,1.360
1.59E-04,1.360
1.60E-04,1.340
1.60E-04,1.360
1.60E-04,1.340
1.60E-04,1.360
1.60E-04,1.360
1.61E-04,1.360
1.61E-04,1.380
1.61E-04,1.340
1.61E-04,1.360
1.61E-04,1.360
1.62E-04,1.380
1.62E-04,1.380
1.62E-04,1.380
1.62E-04,1.380
1.62E-04,1.340
1.63E-04,1.340
1.63E-04,1.340
1.63E-04,1.340
1.63E-04,1.380
1.63E-04,1.380
1.64E-04,1.380
1.64E-04,1.340
1.64E-04,1.320
1.64E-04,1.360
1.64E-04,1.360
1.65E-04,1.360
1.65E-04,1.340
1.65E-04,1.340
1.65E-04,1.360
1.65E-04,1.360
1.66E-04,1.320
1.66E-04,1.340
1.66E-04,1.360
1.66E-04,1.280
1.66E-04,1.340
1.67E-04,1.360
1.67E-04,1.300
1.67E-04,1.320
1.67E-04,1.340
1.67E-04,1.320
1.68E-04,1.340
1.68E-04,1.340
1.68E-04,1.320
1.68E-04,1.300
1.68E-04,1.340
1.69E-04,1.320
1.69E-04,1.300
1.69E-04,1.340
1.69E-04,1.340
1.69E-04,1.300
1.70E-04,1.300
1.70E-04,1.340
1.70E-04,1.300
1.70E-04,1.280
1.70E-04,1.300
1.71E-04,1.320
1.71E-04,1.280
1.71E-04,1.320
1.71E-04,1.280
1.71E-04,1.300
1.72E-04,1.320
1.72E-04,1.300
1.72E-04,1.340
1.72E-04,1.240
1.72E-04,1.280
1.73E-04,1.280
1.73E-04,1.280
1.73E-04,1.280
1.73E-04,1.280
1.73E-04,1.260
1.74E-04,1.260
1.74E-04,1.240
1.74E-04,1.240
1.74E-04,1.260
1.74E-04,1.240
1.75E-04,1.240
1.75E-04,1.260
1.75E-04,1.240
1.75E-04,1.240
1.75E-04,1.260
1.76E-04,1.220
1.76E-04,1.240
1.76E-04,1.240
1.76E-04,1.220
1.76E-04,1.240
1.77E-04,1.220
1.77E-04,1.200
1.77E-04,1.200
1.77E-04,1.200
1.77E-04,1.220
1.78E-04,1.220
1.78E-04,1.220
1.78E-04,1.200
1.78E-04,1.200
1.78E-04,1.180
1.79E-04,1.200
1.79E-04,1.180
1.79E-04,1.200
1.79E-04,1.180
1.79E-04,1.160
1.80E-04,1.200
1.80E-04,1.160
1.80E-04,1.180
1.80E-04,1.160
1.80E-04,1.160
1.81E-04,1.160
1.81E-04,1.160
1.81E-04,1.140
1.81E-04,1.160
1.81E-04,1.180
1.82E-04,1.180
1.82E-04,1.120
1.82E-04,1.120
1.82E-04,1.140
1.82E-04,1.140
1.83E-04,1.140
1.83E-04,1.100
1.83E-04,1.120
1.83E-04,1.100
1.83E-04,1.080
1.84E-04,1.080
1.84E-04,1.080
1.84E-04,1.100
1.84E-04,1.080
1.84E-04,1.080
1.85E-04,1.040
1.85E-04,1.040
1.85E-04,1.040
1.85E-04,1.040
1.85E-04,1.060
1.86E-04,1.060
1.86E-04,1.040
1.86E-04,1.020
1.86E-04,1.020
1.86E-04,0.980
1.87E-04,0.980
1.87E-04,0.960
1.87E-04,0.960
1.87E-04,0.960
1.87E-04,0.960
1.88E-04,0.960
1.88E-04,0.920
1.88E-04,0.960
1.88E-04,0.920
1.88E-04,0.920
1.89E-04,0.940
1.89E-04,0.920
1.89E-04,0.920
1.89E-04,0.920
1.89E-04,0.920
1.90E-04,0.900
1.90E-04,0.900
1.90E-04,0.880
1.90E-04,0.860
1.90E-04,0.840
1.91E-04,0.820
1.91E-04,0.820
1.91E-04,0.840
1.91E-04,0.840
1.91E-04,0.840
1.92E-04,0.820
1.92E-04,0.820
1.92E-04,0.800
1.92E-04,0.760
1.92E-04,0.780
1.93E-04,0.760
1.93E-04,0.740
1.93E-04,0.740
1.93E-04,0.760
1.93E-04,0.780
1.94E-04,0.740
1.94E-04,0.720
1.94E-04,0.740
1.94E-04,0.740
1.94E-04,0.660
1.95E-04,0.700
1.95E-04,0.680
1.95E-04,0.660
1.95E-04,0.680
1.95E-04,0.680
1.96E-04,0.620
1.96E-04,0.640
1.96E-04,0.620
1.96E-04,0.620
1.96E-04,0.560
1.97E-04,0.600
1.97E-04,0.600
1.97E-04,0.560
1.97E-04,0.560
1.97E-04,0.540
1.98E-04,0.540
1.98E-04,0.540
1.98E-04,0.520
1.98E-04,0.540
1.98E-04,0.520
1.99E-04,0.480
1.99E-04,0.500
1.99E-04,0.460
1.99E-04,0.460
1.99E-04,0.480
2.00E-04,0.440
2.00E-04,0.400
2.00E-04,0.420
2.00E-04,0.440
2.00E-04,0.380
2.01E-04,0.340
2.01E-04,0.360
2.01E-04,0.320
2.01E-04,0.320
2.01E-04,0.380
2.02E-04,0.320
2.02E-04,0.280
2.02E-04,0.300
2.02E-04,0.340
2.02E-04,0.260
2.03E-04,0.220
2.03E-04,0.260
2.03E-04,0.240
2.03E-04,0.240
2.03E-04,0.200
2.04E-04,0.180
2.04E-04,0.180
2.04E-04,0.180
2.04E-04,0.180
2.04E-04,0.140
2.05E-04,0.140
2.05E-04,0.120
2.05E-04,0.100
2.05E-04,0.100
2.05E-04,0.060
2.06E-04,0.100
2.06E-04,0.040
2.06E-04,0.040
2.06E-04,0.020
2.06E-04,0.040
2.07E-04,0.000
2.07E-04,0.040
2.07E-04,-0.020
2.07E-04,-0.040
2.07E-04,-0.020
2.08E-04,-0.040
2.08E-04,-0.060
2.08E-04,-0.100
2.08E-04,-0.120
2.08E-04,-0.080
2.09E-04,-0.100
2.09E-04,-0.140
2.09E-04,-0.140
2.09E-04,-0.160
2.09E-04,-0.200
2.10E-04,-0.160
2.10E-04,-0.180
2.10E-04,-0.240
2.10E-04,-0.220
2.10E-04,-0.220
2.11E-04,-0.260
2.11E-04,-0.280
2.11E-04,-0.300
2.11E-04,-0.320
2.11E-04,-0.300
2.12E-04,-0.320
2.12E-04,-0.300
2.12E-04,-0.360
2.12E-04,-0.340
2.12E-04,-0.360
2.13E-04,-0.380
2.13E-04,-0.400
2.13E-04,-0.400
2.13E-04,-0.400
2.13E-04,-0.400
2.14E-04,-0.440
2.14E-04,-0.480
2.14E-04,-0.460
2.14E-04,-0.520
2.14E-04,-0.480
2.15E-04,-0.540
2.15E-04,-0.520
2.15E-04,-0.520
2.15E-04,-0.540
2.15E-04,-0.540
2.16E-04,-0.580
2.16E-04,-0.600
2.16E-04,-0.600
2.16E-04,-0.620
2.16E-04,-0.620
2.17E-04,-0.640
2.17E-04,-0.660
2.17E-04,-0.620
2.17E-04,-0.660
2.17E-04,-0.700
2.18E-04,-0.680
2.18E-04,-0.700
2.18E-04,-0.700
2.18E-04,-0.740
2.18E-04,-0.720
2.19E-04,-0.780
2.19E-04,-0.800
2.19E-04,-0.780
2.19E-04,-0.800
2.19E-04,-0.780
2.20E-04,-0.820
2.20E-04,-0.800
2.20E-04,-0.880
2.20E-04,-0.840
2.20E-04,-0.860
2.21E-04,-0.880
2.21E-04,-0.920
2.21E-04,-0.920
2.21E-04,-0.940
2.21E-04,-0.920
2.22E-04,-0.960
2.22E-04,-0.960
2.22E-04,-0.940
2.22E-04,-0.980
2.22E-04,-0.980
2.23E-04,-1.000
2.23E-04,-1.000
2.23E-04,-1.020
2.23E-04,-1.040
2.23E-04,-1.060
2.24E-04,-1.080
2.24E-04,-1.060
2.24E-04,-1.080
2.24E-04,-1.100
2.24E-04,-1.080
2.25E-04,-1.100
2.25E-04,-1.100
2.25E-04,-1.120
2.25E-04,-1.180
2.25E-04,-1.120
2.26E-04,-1.200
2.26E-04,-1.160
2.26E-04,-1.160
2.26E-04,-1.220
2.26E-04,-1.200
2.27E-04,-1.200
2.27E-04,-1.240
2.27E-04,-1.240
2.27E-04,-1.280
2.27E-04,-1.240
2.28E-04,-1.260
2.28E-04,-1.260
2.28E-04,-1.280
2.28E-04,-1.320
2.28E-04,-1.300
2.29E-04,-1.340
2.29E-04,-1.340
2.29E-04,-1.320
2.29E-04,-1.340
2.29E-04,-1.340
2.30E-04,-1.360
2.30E-04,-1.320
2.30E-04,-1.380
2.30E-04,-1.400
2.30E-04,-1.420
2.31E-04,-1.400
2.31E-04,-1.440
2.31E-04,-1.440
2.31E-04,-1.420
2.31E-04,-1.400
2.32E-04,-1.440
2.32E-04,-1.420
2.32E-04,-1.480
2.32E-04,-1.460
2.32E-04,-1.500
2.33E-04,-1.500
2.33E-04,-1.500
2.33E-04,-1.500
2.33E-04,-1.480
2.33E-04,-1.520
2.34E-04,-1.540
2.34E-04,-1.540
2.34E-04,-1.520
2.34E-04,-1.560
2.34E-04,-1.580
2.35E-04,-1.520
2.35E-04,-1.560
2.35E-04,-1.560
2.35E-04,-1.600
2.35E-04,-1.560
2.36E-04,-1.600
2.36E-04,-1.600
2.36E-04,-1.580
2.36E-04,-1.620
2.36E-04,-1.580
2.37E-04,-1.640
2.37E-04,-1.600
2.37E-04,-1.620
2.37E-04,-1.620
2.37E-04,-1.620
2.38E-04,-1.640
2.38E-04,-1.640
2.38E-04,-1.660
2.38E-04,-1.660
2.38E-04,-1.640
2.39E-04,-1.680
2.39E-04,-1.640
2.39E-04,-1.660
2.39E-04,-1.680
2.39E-04,-1.660
2.40E-04,-1.680
2.40E-04,-1.680
2.40E-04,-1.700
2.40E-04,-1.720
2.40E-04,-1.680
2.41E-04,-1.740
2.41E-04,-1.720
2.41E-04,-1.680
2.41E-04,-1.720
2.41E-04,-1.700
2.42E-04,-1.720
2.42E-04,-1.740
2.42E-04,-1.720
2.42E-04,-1.720
2.42E-04,-1.720
2.43E-04,-1.720
