#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
2.00E-07,-0.048
4.00E-07,-0.052
6.00E-07,-0.044
8.00E-07,-0.044
1.00E-06,-0.044
1.20E-06,-0.036
1.40E-06,-0.048
1.60E-06,-0.032
1.80E-06,-0.040
2.00E-06,-0.036
2.20E-06,-0.032
2.40E-06,-0.036
2.60E-06,-0.032
2.80E-06,-0.028
3.00E-06,-0.036
3.20E-06,-0.028
3.40E-06,-0.024
3.60E-06,-0.032
3.80E-06,-0.024
4.00E-06,-0.032
4.20E-06,-0.028
4.40E-06,-0.020
4.60E-06,-0.024
4.80E-06,-0.020
5.00E-06,-0.020
5.20E-06,-0.020
5.40E-06,-0.016
5.60E-06,-0.012
5.80E-06,-0.012
6.00E-06,-0.012
6.20E-06,-0.024
6.40E-06,-0.016
6.60E-06,-0.012
6.80E-06,-0.012
7.00E-06,-0.012
7.20E-06,-0.016
7.40E-06,-0.008
7.60E-06,-0.004
7.80E-06,-0.012
8.00E-06,-0.004
8.20E-06,0.000
8.40E-06,-0.004
8.60E-06,0.004
8.80E-06,-0.004
9.00E-06,0.008
9.20E-06,0.000
9.40E-06,0.000
9.60E-06,0.008
9.80E-06,0.000
1.00E-05,0.008
1.02E-05,0.004
1.04E-05,0.008
1.06E-05,0.020
1.08E-05,0.008
1.10E-05,0.020
1.12E-05,0.020
1.14E-05,0.020
1.16E-05,0.016
1.18E-05,0.016
1.20E-05,0.020
1.22E-05,0.020
1.24E-05,0.024
1.26E-05,0.020
1.28E-05,0.024
1.30E-05,0.024
1.32E-05,0.028
1.34E-05,0.032
1.36E-05,0.028
1.38E-05,0.032
1.40E-05,0.036
1.42E-05,0.028
1.44E-05,0.036
1.46E-05,0.032
1.48E-05,0.036
1.50E-05,0.040
1.52E-05,0.040
1.54E-05,0.036
1.56E-05,0.040
1.58E-05,0.036
1.60E-05,0.048
1.62E-05,0.044
1.64E-05,0.040
1.66E-05,0.048
1.68E-05,0.040
1.70E-05,0.052
1.72E-05,0.044
1.74E-05,0.052
1.76E-05,0.052
1.78E-05,0.052
1.80E-05,0.052
1.82E-05,0.056
1.84E-05,0.048
1.86E-05,0.060
1.88E-05,0.056
1.90E-05,0.068
1.92E-05,0.060
1.94E-05,0.060
1.96E-05,0.064
1.98E-05,0.064
2.00E-05,0.068
2.02E-05,0.064
2.04E-05,0.072
2.06E-05,0.072
2.08E-05,0.068
2.10E-05,0.068
2.12E-05,0.068
2.14E-05,0.072
2.16E-05,0.072
2.18E-05,0.076
2.20E-05,0.076
2.22E-05,0.076
2.24E-05,0.080
2.26E-05,0.084
2.28E-05,0.080
2.30E-05,0.088
2.32E-05,0.084
2.34E-05,0.088
2.36E-05,0.092
2.38E-05,0.088
2.40E-05,0.088
2.42E-05,0.092
2.44E-05,0.088
2.46E-05,0.092
2.48E-05,0.088
2.50E-05,0.100
2.52E-05,0.096
2.54E-05,0.092
2.56E-05,0.096
2.58E-05,0.092
2.60E-05,0.096
2.62E-05,0.100
2.64E-05,0.096
2.66E-05,0.100
2.68E-05,0.108
2.70E-05,0.108
2.72E-05,0.104
2.74E-05,0.100
2.76E-05,0.108
2.78E-05,0.104
2.80E-05,0.108
2.82E-05,0.104
2.84E-05,0.108
2.86E-05,0.112
2.88E-05,0.108
2.90E-05,0.116
2.92E-05,0.116
2.94E-05,0.112
2.96E-05,0.120
2.98E-05,0.112
3.00E-05,0.124
3.02E-05,0.120
3.04E-05,0.120
3.06E-05,0.124
3.08E-05,0.120
3.10E-05,0.124
3.12E-05,0.124
3.14E-05,0.124
3.16E-05,0.124
3.18E-05,0.124
3.20E-05,0.124
3.22E-05,0.128
3.24E-05,0.124
3.26E-05,0.128
3.28E-05,0.124
3.30E-05,0.128
3.32E-05,0.132
3.34E-05,0.124
3.36E-05,0.136
3.38E-05,0.124
3.40E-05,0.132
3.42E-05,0.136
3.44E-05,0.136
3.46E-05,0.144
3.48E-05,0.132
3.50E-05,0.136
3.52E-05,0.144
3.54E-05,0.136
3.56E-05,0.144
3.58E-05,0.144
3.60E-05,0.140
3.62E-05,0.148
3.64E-05,0.140
3.66E-05,0.148
3.68E-05,0.144
3.70E-05,0.148
3.72E-05,0.148
3.74E-05,0.144
3.76E-05,0.148
3.78E-05,0.148
3.80E-05,0.148
3.82E-05,0.148
3.84E-05,0.152
3.86E-05,0.160
3.88E-05,0.152
3.90E-05,0.152
3.92E-05,0.156
3.94E-05,0.148
3.96E-05,0.164
3.98E-05,0.160
4.00E-05,0.156
4.02E-05,0.164
4.04E-05,0.156
4.06E-05,0.164
4.08E-05,0.168
4.10E-05,0.164
4.12E-05,0.164
4.14E-05,0.156
4.16E-05,0.172
4.18E-05,0.160
4.20E-05,0.160
4.22E-05,0.164
4.24E-05,0.156
4.26E-05,0.172
4.28E-05,0.164
4.30E-05,0.160
4.32E-05,0.168
4.34E-05,0.168
4.36E-05,0.164
4.38E-05,0.168
4.40E-05,0.160
4.42E-05,0.172
4.44E-05,0.168
4.46E-05,0.172
4.48E-05,0.168
4.50E-05,0.168
4.52E-05,0.180
4.54E-05,0.168
4.56E-05,0.172
4.58E-05,0.180
4.60E-05,0.176
4.62E-05,0.184
4.64E-05,0.176
4.66E-05,0.176
4.68E-05,0.180
4.70E-05,0.164
4.72E-05,0.184
4.74E-05,0.176
4.76E-05,0.176
4.78E-05,0.184
4.80E-05,0.180
4.82E-05,0.176
4.84E-05,0.176
4.86E-05,0.168
4.88E-05,0.180
4.90E-05,0.172
4.92E-05,0.180
4.94E-05,0.176
4.96E-05,0.180
4.98E-05,0.184
5.00E-05,0.176
5.02E-05,0.180
5.04E-05,0.184
5.06E-05,0.184
5.08E-05,0.184
5.10E-05,0.176
5.12E-05,0.184
5.14E-05,0.188
5.16E-05,0.176
5.18E-05,0.180
5.20E-05,0.184
5.22E-05,0.180
5.24E-05,0.184
5.26E-05,0.180
5.28E-05,0.188
5.30E-05,0.180
5.32E-05,0.184
5.34E-05,0.180
5.36E-05,0.184
5.38E-05,0.188
5.40E-05,0.180
5.42E-05,0.184
5.44E-05,0.184
5.46E-05,0.176
5.48E-05,0.188
5.50E-05,0.180
5.52E-05,0.180
5.54E-05,0.188
5.56E-05,0.180
5.58E-05,0.184
5.60E-05,0.184
5.62E-05,0.180
5.64E-05,0.184
5.66E-05,0.188
5.68E-05,0.188
5.70E-05,0.192
5.72E-05,0.184
5.74E-05,0.196
5.76E-05,0.180
5.78E-05,0.192
5.80E-05,0.188
5.82E-05,0.184
5.84E-05,0.188
5.86E-05,0.180
5.88E-05,0.188
5.90E-05,0.188
5.92E-05,0.184
5.94E-05,0.188
5.96E-05,0.184
5.98E-05,0.184
6.00E-05,0.192
6.02E-05,0.180
6.04E-05,0.184
6.06E-05,0.184
6.08E-05,0.180
6.10E-05,0.184
6.12E-05,0.184
6.14E-05,0.188
6.16E-05,0.180
6.18E-05,0.184
6.20E-05,0.188
6.22E-05,0.184
6.24E-05,0.192
6.26E-05,0.188
6.28E-05,0.184
6.30E-05,0.192
6.32E-05,0.176
6.34E-05,0.188
6.36E-05,0.188
6.38E-05,0.180
6.40E-05,0.188
6.42E-05,0.180
6.44E-05,0.184
6.46E-05,0.188
6.48E-05,0.176
6.50E-05,0.188
6.52E-05,0.172
6.54E-05,0.180
6.56E-05,0.176
6.58E-05,0.180
6.60E-05,0.188
6.62E-05,0.172
6.64E-05,0.188
6.66E-05,0.180
6.68E-05,0.172
6.70E-05,0.184
6.72E-05,0.176
6.74E-05,0.176
6.76E-05,0.180
6.78E-05,0.172
6.80E-05,0.176
6.82E-05,0.176
6.84E-05,0.172
6.86E-05,0.180
6.88E-05,0.172
6.90E-05,0.176
6.92E-05,0.172
6.94E-05,0.176
6.96E-05,0.176
6.98E-05,0.168
7.00E-05,0.172
7.02E-05,0.168
7.04E-05,0.168
7.06E-05,0.168
7.08E-05,0.156
7.10E-05,0.172
7.12E-05,0.164
7.14E-05,0.156
7.16E-05,0.172
7.18E-05,0.164
7.20E-05,0.160
7.22E-05,0.164
7.24E-05,0.160
7.26E-05,0.164
7.28E-05,0.160
7.30E-05,0.160
7.32E-05,0.168
7.34E-05,0.156
7.36E-05,0.168
7.38E-05,0.156
7.40E-05,0.164
7.42E-05,0.164
7.44E-05,0.152
7.46E-05,0.160
7.48E-05,0.156
7.50E-05,0.156
7.52E-05,0.160
7.54E-05,0.156
7.56E-05,0.160
7.58E-05,0.152
7.60E-05,0.148
7.62E-05,0.160
7.64E-05,0.152
7.66E-05,0.156
7.68E-05,0.152
7.70E-05,0.148
7.72E-05,0.152
7.74E-05,0.144
7.76E-05,0.152
7.78E-05,0.148
7.80E-05,0.148
7.82E-05,0.148
7.84E-05,0.152
7.86E-05,0.148
7.88E-05,0.144
7.90E-05,0.144
7.92E-05,0.152
7.94E-05,0.140
7.96E-05,0.148
7.98E-05,0.144
8.00E-05,0.136
8.02E-05,0.140
8.04E-05,0.132
8.06E-05,0.136
8.08E-05,0.140
8.10E-05,0.136
8.12E-05,0.140
8.14E-05,0.132
8.16E-05,0.136
8.18E-05,0.140
8.20E-05,0.124
8.22E-05,0.136
8.24E-05,0.132
8.26E-05,0.128
8.28E-05,0.124
8.30E-05,0.124
8.32E-05,0.128
8.34E-05,0.124
8.36E-05,0.124
8.38E-05,0.124
8.40E-05,0.124
8.42E-05,0.124
8.44E-05,0.124
8.46E-05,0.116
8.48E-05,0.124
8.50E-05,0.120
8.52E-05,0.112
8.54E-05,0.116
8.56E-05,0.116
8.58E-05,0.116
8.60E-05,0.112
8.62E-05,0.116
8.64E-05,0.108
8.66E-05,0.112
8.68E-05,0.112
8.70E-05,0.104
8.72E-05,0.112
8.74E-05,0.112
8.76E-05,0.104
8.78E-05,0.108
8.80E-05,0.100
8.82E-05,0.100
8.84E-05,0.104
8.86E-05,0.100
8.88E-05,0.104
8.90E-05,0.092
8.92E-05,0.092
8.94E-05,0.096
8.96E-05,0.088
8.98E-05,0.100
9.00E-05,0.092
9.02E-05,0.088
9.04E-05,0.092
9.06E-05,0.088
9.08E-05,0.092
9.10E-05,0.088
9.12E-05,0.088
9.14E-05,0.092
9.16E-05,0.088
9.18E-05,0.088
9.20E-05,0.092
9.22E-05,0.076
9.24E-05,0.088
9.26E-05,0.080
9.28E-05,0.072
9.30E-05,0.088
9.32E-05,0.068
9.34E-05,0.080
9.36E-05,0.076
9.38E-05,0.068
9.40E-05,0.076
9.42E-05,0.068
9.44E-05,0.068
9.46E-05,0.068
9.48E-05,0.068
9.50E-05,0.064
9.52E-05,0.060
9.54E-05,0.064
9.56E-05,0.060
9.58E-05,0.052
9.60E-05,0.056
9.62E-05,0.056
9.64E-05,0.060
9.66E-05,0.056
9.68E-05,0.052
9.70E-05,0.056
9.72E-05,0.052
9.74E-05,0.052
9.76E-05,0.056
9.78E-05,0.048
9.80E-05,0.056
9.82E-05,0.044
9.84E-05,0.052
9.86E-05,0.052
9.88E-05,0.044
9.90E-05,0.056
9.92E-05,0.040
9.94E-05,0.040
9.96E-05,0.044
9.98E-05,0.036
1.00E-04,0.040
1.00E-04,0.040
1.00E-04,0.032
1.01E-04,0.036
1.01E-04,0.032
1.01E-04,0.032
1.01E-04,0.036
1.01E-04,0.028
1.02E-04,0.032
1.02E-04,0.020
1.02E-04,0.028
1.02E-04,0.020
1.02E-04,0.020
1.03E-04,0.024
1.03E-04,0.028
1.03E-04,0.028
1.03E-04,0.024
1.03E-04,0.024
1.04E-04,0.020
1.04E-04,0.016
1.04E-04,0.020
1.04E-04,0.016
1.04E-04,0.012
1.05E-04,0.012
1.05E-04,0.008
1.05E-04,0.008
1.05E-04,0.012
1.05E-04,0.000
1.06E-04,0.012
1.06E-04,0.000
1.06E-04,0.004
1.06E-04,0.004
1.06E-04,-0.008
1.07E-04,0.004
1.07E-04,-0.008
1.07E-04,0.000
1.07E-04,-0.004
1.07E-04,-0.008
1.08E-04,0.000
1.08E-04,-0.004
1.08E-04,-0.004
1.08E-04,-0.004
1.08E-04,-0.012
1.09E-04,-0.012
1.09E-04,-0.008
1.09E-04,-0.020
1.09E-04,-0.012
1.09E-04,-0.016
1.10E-04,-0.020
1.10E-04,-0.016
1.10E-04,-0.020
1.10E-04,-0.016
1.10E-04,-0.024
1.11E-04,-0.020
1.11E-04,-0.020
1.11E-04,-0.020
1.11E-04,-0.024
1.11E-04,-0.032
1.12E-04,-0.028
1.12E-04,-0.028
1.12E-04,-0.032
1.12E-04,-0.028
1.12E-04,-0.032
1.13E-04,-0.032
1.13E-04,-0.036
1.13E-04,-0.040
1.13E-04,-0.036
1.13E-04,-0.028
1.14E-04,-0.048
1.14E-04,-0.040
1.14E-04,-0.048
1.14E-04,-0.036
1.14E-04,-0.048
1.15E-04,-0.052
1.15E-04,-0.044
1.15E-04,-0.056
1.15E-04,-0.048
1.15E-04,-0.044
1.16E-04,-0.056
1.16E-04,-0.044
1.16E-04,-0.056
1.16E-04,-0.056
1.16E-04,-0.048
1.17E-04,-0.060
1.17E-04,-0.056
1.17E-04,-0.056
1.17E-04,-0.064
1.17E-04,-0.056
1.18E-04,-0.064
1.18E-04,-0.064
1.18E-04,-0.068
1.18E-04,-0.060
1.18E-04,-0.064
1.19E-04,-0.068
1.19E-04,-0.072
