#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
2.00E-07,-0.068
4.00E-07,-0.060
6.00E-07,-0.064
8.00E-07,-0.072
1.00E-06,-0.060
1.20E-06,-0.056
1.40E-06,-0.056
1.60E-06,-0.056
1.80E-06,-0.056
2.00E-06,-0.056
2.20E-06,-0.048
2.40E-06,-0.056
2.60E-06,-0.052
2.80E-06,-0.048
3.00E-06,-0.048
3.20E-06,-0.044
3.40E-06,-0.052
3.60E-06,-0.040
3.80E-06,-0.048
4.00E-06,-0.036
4.20E-06,-0.040
4.40E-06,-0.040
4.60E-06,-0.032
4.80E-06,-0.040
5.00E-06,-0.036
5.20E-06,-0.032
5.40E-06,-0.036
5.60E-06,-0.024
5.80E-06,-0.024
6.00E-06,-0.036
6.20E-06,-0.024
6.40E-06,-0.028
6.60E-06,-0.020
6.80E-06,-0.024
7.00E-06,-0.024
7.20E-06,-0.024
7.40E-06,-0.024
7.60E-06,-0.024
7.80E-06,-0.020
8.00E-06,-0.020
8.20E-06,-0.016
8.40E-06,-0.016
8.60E-06,-0.016
8.80E-06,-0.012
9.00E-06,-0.008
9.20E-06,-0.016
9.40E-06,-0.012
9.60E-06,-0.008
9.80E-06,-0.004
1.00E-05,-0.004
1.02E-05,-0.004
1.04E-05,0.000
1.06E-05,0.004
1.08E-05,0.000
1.10E-05,0.004
1.12E-05,0.008
1.14E-05,0.000
1.16E-05,0.012
1.18E-05,0.008
1.20E-05,0.016
1.22E-05,0.008
1.24E-05,0.012
1.26E-05,0.016
1.28E-05,0.012
1.30E-05,0.012
1.32E-05,0.012
1.34E-05,0.016
1.36E-05,0.020
1.38E-05,0.016
1.40E-05,0.020
1.42E-05,0.020
1.44E-05,0.016
1.46E-05,0.028
1.48E-05,0.020
1.50E-05,0.028
1.52E-05,0.036
1.54E-05,0.028
1.56E-05,0.032
1.58E-05,0.032
1.60E-05,0.036
1.62E-05,0.036
1.64E-05,0.040
1.66E-05,0.044
1.68E-05,0.036
1.70E-05,0.040
1.72E-05,0.048
1.74E-05,0.044
1.76E-05,0.048
1.78E-05,0.044
1.80E-05,0.044
1.82E-05,0.052
1.84E-05,0.052
1.86E-05,0.052
1.88E-05,0.056
1.90E-05,0.052
1.92E-05,0.056
1.94E-05,0.056
1.96E-05,0.064
1.98E-05,0.060
2.00E-05,0.064
2.02E-05,0.056
2.04E-05,0.056
2.06E-05,0.068
2.08E-05,0.064
2.10E-05,0.060
2.12E-05,0.068
2.14E-05,0.068
2.16E-05,0.072
2.18E-05,0.076
2.20E-05,0.068
2.22E-05,0.072
2.24E-05,0.072
2.26E-05,0.076
2.28E-05,0.076
2.30E-05,0.076
2.32E-05,0.080
2.34E-05,0.084
2.36E-05,0.084
2.38E-05,0.088
2.40E-05,0.088
2.42E-05,0.084
2.44E-05,0.084
2.46E-05,0.088
2.48E-05,0.088
2.50E-05,0.096
2.52E-05,0.096
2.54E-05,0.092
2.56E-05,0.096
2.58E-05,0.092
2.60E-05,0.100
2.62E-05,0.096
2.64E-05,0.100
2.66E-05,0.104
2.68E-05,0.100
2.70E-05,0.108
2.72E-05,0.108
2.74E-05,0.100
2.76E-05,0.108
2.78E-05,0.100
2.80E-05,0.112
2.82E-05,0.100
2.84E-05,0.108
2.86E-05,0.108
2.88E-05,0.108
2.90E-05,0.108
2.92E-05,0.116
2.94E-05,0.116
2.96E-05,0.116
2.98E-05,0.112
3.00E-05,0.116
3.02E-05,0.120
3.04E-05,0.120
3.06E-05,0.124
3.08E-05,0.120
3.10E-05,0.128
3.12E-05,0.120
3.14E-05,0.124
3.16E-05,0.128
3.18E-05,0.124
3.20E-05,0.128
3.22E-05,0.128
3.24E-05,0.124
3.26E-05,0.132
3.28E-05,0.132
3.30E-05,0.132
3.32E-05,0.132
3.34E-05,0.136
3.36E-05,0.144
3.38E-05,0.140
3.40E-05,0.140
3.42E-05,0.144
3.44E-05,0.140
3.46E-05,0.144
3.48E-05,0.144
3.50E-05,0.144
3.52E-05,0.144
3.54E-05,0.144
3.56E-05,0.152
3.58E-05,0.144
3.60E-05,0.156
3.62E-05,0.152
3.64E-05,0.148
3.66E-05,0.156
3.68E-05,0.144
3.70E-05,0.156
3.72E-05,0.156
3.74E-05,0.156
3.76E-05,0.160
3.78E-05,0.156
3.80E-05,0.156
3.82E-05,0.160
3.84E-05,0.160
3.86E-05,0.160
3.88E-05,0.160
3.90E-05,0.160
3.92E-05,0.160
3.94E-05,0.164
3.96E-05,0.164
3.98E-05,0.168
4.00E-05,0.168
4.02E-05,0.168
4.04E-05,0.164
4.06E-05,0.168
4.08E-05,0.172
4.10E-05,0.172
4.12E-05,0.172
4.14E-05,0.168
4.16E-05,0.168
4.18E-05,0.176
4.20E-05,0.180
4.22E-05,0.172
4.24E-05,0.176
4.26E-05,0.180
4.28E-05,0.172
4.30E-05,0.180
4.32E-05,0.168
4.34E-05,0.176
4.36E-05,0.180
4.38E-05,0.172
4.40E-05,0.184
4.42E-05,0.180
4.44E-05,0.180
4.46E-05,0.180
4.48E-05,0.184
4.50E-05,0.184
4.52E-05,0.188
4.54E-05,0.184
4.56E-05,0.188
4.58E-05,0.180
4.60E-05,0.188
4.62E-05,0.184
4.64E-05,0.188
4.66E-05,0.188
4.68E-05,0.188
4.70E-05,0.192
4.72E-05,0.188
4.74E-05,0.192
4.76E-05,0.188
4.78E-05,0.184
4.80E-05,0.192
4.82E-05,0.188
4.84E-05,0.188
4.86E-05,0.192
4.88E-05,0.188
4.90E-05,0.200
4.92E-05,0.188
4.94E-05,0.192
4.96E-05,0.196
4.98E-05,0.188
5.00E-05,0.196
5.02E-05,0.200
5.04E-05,0.196
5.06E-05,0.200
5.08E-05,0.196
5.10E-05,0.196
5.12E-05,0.196
5.14E-05,0.192
5.16E-05,0.208
5.18E-05,0.192
5.20E-05,0.208
5.22E-05,0.204
5.24E-05,0.196
5.26E-05,0.196
5.28E-05,0.196
5.30E-05,0.204
5.32E-05,0.208
5.34E-05,0.200
5.36E-05,0.196
5.38E-05,0.196
5.40E-05,0.196
5.42E-05,0.204
5.44E-05,0.200
5.46E-05,0.200
5.48E-05,0.204
5.50E-05,0.200
5.52E-05,0.200
5.54E-05,0.200
5.56E-05,0.196
5.58E-05,0.204
5.60E-05,0.196
5.62E-05,0.204
5.64E-05,0.204
5.66E-05,0.208
5.68E-05,0.200
5.70E-05,0.208
5.72E-05,0.204
5.74E-05,0.208
5.76E-05,0.204
5.78E-05,0.200
5.80E-05,0.204
5.82E-05,0.204
5.84E-05,0.200
5.86E-05,0.204
5.88E-05,0.196
5.90E-05,0.208
5.92E-05,0.204
5.94E-05,0.208
5.96E-05,0.208
5.98E-05,0.208
6.00E-05,0.204
6.02E-05,0.196
6.04E-05,0.204
6.06E-05,0.208
6.08E-05,0.208
6.10E-05,0.200
6.12E-05,0.200
6.14E-05,0.200
6.16E-05,0.200
6.18E-05,0.204
6.20E-05,0.200
6.22E-05,0.204
6.24E-05,0.196
6.26E-05,0.200
6.28E-05,0.200
6.30E-05,0.200
6.32E-05,0.200
6.34E-05,0.204
6.36E-05,0.192
6.38E-05,0.208
6.40E-05,0.200
6.42E-05,0.200
6.44E-05,0.200
6.46E-05,0.204
6.48E-05,0.196
6.50E-05,0.204
6.52E-05,0.192
6.54E-05,0.200
6.56E-05,0.200
6.58E-05,0.200
