#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
2.00E-07,-0.024
4.00E-07,-0.032
6.00E-07,-0.028
8.00E-07,-0.024
1.00E-06,-0.028
1.20E-06,-0.024
1.40E-06,-0.024
1.60E-06,-0.016
1.80E-06,-0.016
2.00E-06,-0.024
2.20E-06,-0.020
2.40E-06,-0.020
2.60E-06,-0.020
2.80E-06,-0.024
3.00E-06,-0.016
3.20E-06,-0.012
3.40E-06,-0.016
3.60E-06,-0.016
3.80E-06,-0.012
4.00E-06,-0.012
4.20E-06,-0.012
4.40E-06,-0.012
4.60E-06,-0.016
4.80E-06,-0.016
5.00E-06,-0.012
5.20E-06,-0.016
5.40E-06,-0.016
5.60E-06,-0.012
5.80E-06,-0.016
6.00E-06,-0.008
6.20E-06,-0.008
6.40E-06,-0.008
6.60E-06,-0.004
6.80E-06,-0.004
7.00E-06,0.004
7.20E-06,0.004
7.40E-06,-0.004
7.60E-06,-0.004
7.80E-06,-0.004
8.00E-06,-0.004
8.20E-06,0.004
8.40E-06,-0.004
8.60E-06,-0.008
8.80E-06,-0.004
9.00E-06,0.000
9.20E-06,0.008
9.40E-06,0.004
9.60E-06,0.004
9.80E-06,0.004
1.00E-05,0.004
1.02E-05,0.008
1.04E-05,0.012
1.06E-05,0.008
1.08E-05,0.008
1.10E-05,0.012
1.12E-05,0.012
1.14E-05,0.008
1.16E-05,0.012
1.18E-05,0.008
1.20E-05,0.012
1.22E-05,0.016
1.24E-05,0.012
1.26E-05,0.012
1.28E-05,0.016
1.30E-05,0.012
1.32E-05,0.016
1.34E-05,0.020
1.36E-05,0.020
1.38E-05,0.016
1.40E-05,0.028
1.42E-05,0.012
1.44E-05,0.016
1.46E-05,0.016
1.48E-05,0.020
1.50E-05,0.020
1.52E-05,0.028
1.54E-05,0.024
1.56E-05,0.024
1.58E-05,0.028
1.60E-05,0.028
1.62E-05,0.028
1.64E-05,0.028
1.66E-05,0.024
1.68E-05,0.024
1.70E-05,0.024
1.72E-05,0.024
1.74E-05,0.028
1.76E-05,0.032
1.78E-05,0.028
1.80E-05,0.028
1.82E-05,0.032
1.84E-05,0.028
1.86E-05,0.032
1.88E-05,0.032
1.90E-05,0.028
1.92E-05,0.028
1.94E-05,0.024
1.96E-05,0.024
1.98E-05,0.032
2.00E-05,0.036
2.02E-05,0.036
2.04E-05,0.036
2.06E-05,0.028
2.08E-05,0.036
2.10E-05,0.036
2.12E-05,0.040
2.14E-05,0.036
2.16E-05,0.040
2.18E-05,0.036
2.20E-05,0.040
2.22E-05,0.040
2.24E-05,0.040
2.26E-05,0.040
2.28E-05,0.040
2.30E-05,0.044
2.32E-05,0.040
2.34E-05,0.040
2.36E-05,0.044
2.38E-05,0.052
2.40E-05,0.052
2.42E-05,0.052
2.44E-05,0.048
2.46E-05,0.044
2.48E-05,0.044
2.50E-05,0.040
2.52E-05,0.040
2.54E-05,0.044
2.56E-05,0.044
2.58E-05,0.048
2.60E-05,0.048
2.62E-05,0.052
2.64E-05,0.052
2.66E-05,0.056
2.68E-05,0.052
2.70E-05,0.052
2.72E-05,0.048
2.74E-05,0.052
2.76E-05,0.056
2.78E-05,0.056
2.80E-05,0.052
2.82E-05,0.056
2.84E-05,0.060
2.86E-05,0.056
2.88E-05,0.060
2.90E-05,0.060
2.92E-05,0.060
2.94E-05,0.060
2.96E-05,0.060
2.98E-05,0.060
3.00E-05,0.060
3.02E-05,0.060
3.04E-05,0.056
3.06E-05,0.056
3.08E-05,0.056
3.10E-05,0.056
3.12E-05,0.060
3.14E-05,0.064
3.16E-05,0.064
3.18E-05,0.064
3.20E-05,0.064
3.22E-05,0.064
3.24E-05,0.064
3.26E-05,0.068
3.28E-05,0.072
3.30E-05,0.072
3.32E-05,0.064
3.34E-05,0.072
3.36E-05,0.068
3.38E-05,0.064
3.40E-05,0.068
3.42E-05,0.064
3.44E-05,0.064
3.46E-05,0.068
3.48E-05,0.072
3.50E-05,0.068
3.52E-05,0.072
3.54E-05,0.080
3.56E-05,0.076
3.58E-05,0.076
3.60E-05,0.080
3.62E-05,0.080
3.64E-05,0.076
3.66E-05,0.076
3.68E-05,0.076
3.70E-05,0.080
3.72E-05,0.080
3.74E-05,0.076
3.76E-05,0.076
3.78E-05,0.076
3.80E-05,0.076
3.82E-05,0.080
3.84E-05,0.080
3.86E-05,0.076
3.88E-05,0.076
3.90E-05,0.080
3.92E-05,0.084
3.94E-05,0.084
3.96E-05,0.084
3.98E-05,0.088
4.00E-05,0.080
4.02E-05,0.080
4.04E-05,0.076
4.06E-05,0.080
4.08E-05,0.080
4.10E-05,0.080
4.12E-05,0.076
4.14E-05,0.080
4.16E-05,0.084
4.18E-05,0.084
4.20E-05,0.088
4.22E-05,0.088
4.24E-05,0.088
4.26E-05,0.088
4.28E-05,0.088
4.30E-05,0.088
4.32E-05,0.084
4.34E-05,0.088
4.36E-05,0.084
4.38E-05,0.084
4.40E-05,0.088
4.42E-05,0.084
4.44E-05,0.092
4.46E-05,0.092
4.48E-05,0.088
4.50E-05,0.084
4.52E-05,0.088
4.54E-05,0.092
4.56E-05,0.092
4.58E-05,0.084
4.60E-05,0.096
4.62E-05,0.096
4.64E-05,0.092
4.66E-05,0.092
4.68E-05,0.092
4.70E-05,0.096
4.72E-05,0.096
4.74E-05,0.096
4.76E-05,0.096
4.78E-05,0.088
4.80E-05,0.088
4.82E-05,0.092
4.84E-05,0.096
4.86E-05,0.096
4.88E-05,0.092
4.90E-05,0.088
4.92E-05,0.084
4.94E-05,0.088
4.96E-05,0.096
4.98E-05,0.092
5.00E-05,0.092
5.02E-05,0.100
5.04E-05,0.100
5.06E-05,0.096
5.08E-05,0.100
5.10E-05,0.100
5.12E-05,0.100
5.14E-05,0.100
5.16E-05,0.096
5.18E-05,0.096
5.20E-05,0.100
5.22E-05,0.100
5.24E-05,0.100
5.26E-05,0.096
5.28E-05,0.096
5.30E-05,0.096
5.32E-05,0.100
5.34E-05,0.092
5.36E-05,0.096
5.38E-05,0.100
5.40E-05,0.100
5.42E-05,0.104
5.44E-05,0.100
5.46E-05,0.096
5.48E-05,0.096
5.50E-05,0.100
5.52E-05,0.096
5.54E-05,0.096
5.56E-05,0.088
5.58E-05,0.096
5.60E-05,0.096
5.62E-05,0.104
5.64E-05,0.108
5.66E-05,0.096
5.68E-05,0.100
5.70E-05,0.100
5.72E-05,0.100
5.74E-05,0.100
5.76E-05,0.096
5.78E-05,0.100
5.80E-05,0.096
5.82E-05,0.096
5.84E-05,0.096
5.86E-05,0.100
5.88E-05,0.104
5.90E-05,0.096
5.92E-05,0.096
5.94E-05,0.092
5.96E-05,0.100
5.98E-05,0.100
6.00E-05,0.100
6.02E-05,0.096
6.04E-05,0.096
6.06E-05,0.096
6.08E-05,0.096
6.10E-05,0.096
6.12E-05,0.096
6.14E-05,0.096
6.16E-05,0.096
6.18E-05,0.100
6.20E-05,0.092
6.22E-05,0.092
6.24E-05,0.088
6.26E-05,0.096
6.28E-05,0.088
6.30E-05,0.088
6.32E-05,0.088
6.34E-05,0.092
6.36E-05,0.092
6.38E-05,0.088
6.40E-05,0.092
6.42E-05,0.092
6.44E-05,0.096
6.46E-05,0.096
6.48E-05,0.092
6.50E-05,0.092
6.52E-05,0.092
6.54E-05,0.088
6.56E-05,0.096
6.58E-05,0.092
6.60E-05,0.084
6.62E-05,0.084
6.64E-05,0.088
6.66E-05,0.088
6.68E-05,0.088
6.70E-05,0.084
6.72E-05,0.088
6.74E-05,0.084
6.76E-05,0.088
6.78E-05,0.088
6.80E-05,0.096
6.82E-05,0.088
6.84E-05,0.088
6.86E-05,0.084
6.88E-05,0.084
6.90E-05,0.088
6.92E-05,0.092
6.94E-05,0.088
6.96E-05,0.084
6.98E-05,0.080
7.00E-05,0.084
7.02E-05,0.080
7.04E-05,0.080
7.06E-05,0.076
7.08E-05,0.076
7.10E-05,0.080
7.12E-05,0.080
7.14E-05,0.080
7.16E-05,0.080
7.18E-05,0.080
7.20E-05,0.076
7.22E-05,0.076
7.24E-05,0.076
7.26E-05,0.076
7.28E-05,0.076
7.30E-05,0.080
7.32E-05,0.080
7.34E-05,0.076
7.36E-05,0.080
7.38E-05,0.076
7.40E-05,0.076
7.42E-05,0.068
7.44E-05,0.072
7.46E-05,0.068
7.48E-05,0.068
7.50E-05,0.072
7.52E-05,0.068
7.54E-05,0.068
7.56E-05,0.068
7.58E-05,0.068
7.60E-05,0.068
7.62E-05,0.068
7.64E-05,0.072
7.66E-05,0.076
7.68E-05,0.076
7.70E-05,0.064
7.72E-05,0.064
7.74E-05,0.064
7.76E-05,0.060
7.78E-05,0.060
7.80E-05,0.060
