#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
2.00E-07,-0.076
4.00E-07,-0.072
6.00E-07,-0.072
8.00E-07,-0.064
1.00E-06,-0.068
1.20E-06,-0.068
1.40E-06,-0.064
1.60E-06,-0.056
1.80E-06,-0.056
2.00E-06,-0.056
2.20E-06,-0.064
2.40E-06,-0.048
2.60E-06,-0.044
2.80E-06,-0.060
3.00E-06,-0.040
3.20E-06,-0.048
3.40E-06,-0.044
3.60E-06,-0.040
3.80E-06,-0.040
4.00E-06,-0.032
4.20E-06,-0.032
4.40E-06,-0.032
4.60E-06,-0.024
4.80E-06,-0.036
5.00E-06,-0.028
5.20E-06,-0.024
5.40E-06,-0.020
5.60E-06,-0.016
5.80E-06,-0.028
6.00E-06,-0.008
6.20E-06,-0.020
6.40E-06,-0.016
6.60E-06,-0.008
6.80E-06,-0.012
7.00E-06,-0.008
7.20E-06,-0.004
7.40E-06,-0.004
7.60E-06,0.004
7.80E-06,0.000
8.00E-06,-0.004
8.20E-06,0.012
8.40E-06,0.008
8.60E-06,0.008
8.80E-06,0.016
9.00E-06,0.012
9.20E-06,0.016
9.40E-06,0.016
9.60E-06,0.016
9.80E-06,0.024
1.00E-05,0.024
1.02E-05,0.024
1.04E-05,0.032
1.06E-05,0.032
1.08E-05,0.032
1.10E-05,0.040
1.12E-05,0.036
1.14E-05,0.044
1.16E-05,0.040
1.18E-05,0.044
1.20E-05,0.044
1.22E-05,0.044
1.24E-05,0.052
1.26E-05,0.052
1.28E-05,0.056
1.30E-05,0.056
1.32E-05,0.052
1.34E-05,0.068
1.36E-05,0.060
1.38E-05,0.072
1.40E-05,0.064
1.42E-05,0.068
1.44E-05,0.068
1.46E-05,0.072
1.48E-05,0.076
1.50E-05,0.076
1.52E-05,0.076
1.54E-05,0.076
1.56E-05,0.088
1.58E-05,0.080
1.60E-05,0.088
1.62E-05,0.088
1.64E-05,0.088
1.66E-05,0.092
1.68E-05,0.092
1.70E-05,0.100
1.72E-05,0.100
1.74E-05,0.100
1.76E-05,0.100
1.78E-05,0.104
1.80E-05,0.100
1.82E-05,0.112
1.84E-05,0.108
1.86E-05,0.108
1.88E-05,0.116
1.90E-05,0.112
1.92E-05,0.124
1.94E-05,0.116
1.96E-05,0.116
1.98E-05,0.128
2.00E-05,0.116
2.02E-05,0.128
2.04E-05,0.124
2.06E-05,0.124
2.08E-05,0.128
2.10E-05,0.124
2.12E-05,0.128
2.14E-05,0.140
2.16E-05,0.136
2.18E-05,0.144
2.20E-05,0.140
2.22E-05,0.148
2.24E-05,0.152
2.26E-05,0.148
2.28E-05,0.152
2.30E-05,0.156
2.32E-05,0.148
2.34E-05,0.160
2.36E-05,0.156
2.38E-05,0.156
2.40E-05,0.164
2.42E-05,0.156
2.44E-05,0.172
2.46E-05,0.164
2.48E-05,0.168
2.50E-05,0.176
2.52E-05,0.176
2.54E-05,0.172
2.56E-05,0.180
2.58E-05,0.176
2.60E-05,0.176
2.62E-05,0.180
2.64E-05,0.180
2.66E-05,0.180
2.68E-05,0.184
2.70E-05,0.188
2.72E-05,0.196
2.74E-05,0.188
2.76E-05,0.192
2.78E-05,0.196
2.80E-05,0.196
2.82E-05,0.200
2.84E-05,0.196
2.86E-05,0.200
2.88E-05,0.208
2.90E-05,0.200
2.92E-05,0.208
2.94E-05,0.200
2.96E-05,0.212
2.98E-05,0.216
3.00E-05,0.208
3.02E-05,0.212
3.04E-05,0.216
3.06E-05,0.212
3.08E-05,0.220
3.10E-05,0.216
3.12E-05,0.220
3.14E-05,0.228
3.16E-05,0.216
3.18E-05,0.228
3.20E-05,0.228
3.22E-05,0.228
3.24E-05,0.228
3.26E-05,0.228
3.28E-05,0.232
3.30E-05,0.232
3.32E-05,0.236
3.34E-05,0.244
3.36E-05,0.240
3.38E-05,0.240
3.40E-05,0.244
3.42E-05,0.244
3.44E-05,0.240
3.46E-05,0.248
3.48E-05,0.240
3.50E-05,0.252
3.52E-05,0.248
3.54E-05,0.252
3.56E-05,0.256
3.58E-05,0.248
3.60E-05,0.256
3.62E-05,0.248
3.64E-05,0.256
3.66E-05,0.256
3.68E-05,0.252
3.70E-05,0.260
3.72E-05,0.256
3.74E-05,0.268
3.76E-05,0.272
3.78E-05,0.268
3.80E-05,0.268
3.82E-05,0.264
3.84E-05,0.264
3.86E-05,0.268
3.88E-05,0.272
3.90E-05,0.268
3.92E-05,0.272
3.94E-05,0.268
3.96E-05,0.272
3.98E-05,0.276
4.00E-05,0.276
4.02E-05,0.276
4.04E-05,0.276
4.06E-05,0.284
4.08E-05,0.280
4.10E-05,0.284
4.12E-05,0.280
4.14E-05,0.284
4.16E-05,0.288
4.18E-05,0.288
4.20E-05,0.284
4.22E-05,0.292
4.24E-05,0.288
4.26E-05,0.292
4.28E-05,0.288
4.30E-05,0.296
4.32E-05,0.288
4.34E-05,0.296
4.36E-05,0.292
4.38E-05,0.296
4.40E-05,0.300
4.42E-05,0.292
4.44E-05,0.296
4.46E-05,0.288
4.48E-05,0.304
4.50E-05,0.296
4.52E-05,0.296
4.54E-05,0.300
4.56E-05,0.300
4.58E-05,0.304
4.60E-05,0.304
4.62E-05,0.312
4.64E-05,0.300
4.66E-05,0.312
4.68E-05,0.296
4.70E-05,0.308
4.72E-05,0.304
4.74E-05,0.304
4.76E-05,0.316
4.78E-05,0.300
4.80E-05,0.308
4.82E-05,0.308
4.84E-05,0.308
4.86E-05,0.312
4.88E-05,0.312
4.90E-05,0.316
4.92E-05,0.308
4.94E-05,0.308
4.96E-05,0.312
4.98E-05,0.312
5.00E-05,0.316
5.02E-05,0.316
5.04E-05,0.316
5.06E-05,0.316
5.08E-05,0.320
5.10E-05,0.312
5.12E-05,0.324
5.14E-05,0.316
5.16E-05,0.312
5.18E-05,0.320
5.20E-05,0.312
5.22E-05,0.312
5.24E-05,0.312
5.26E-05,0.320
5.28E-05,0.320
5.30E-05,0.320
5.32E-05,0.328
5.34E-05,0.320
5.36E-05,0.320
5.38E-05,0.324
5.40E-05,0.320
5.42E-05,0.320
5.44E-05,0.320
5.46E-05,0.312
5.48E-05,0.324
5.50E-05,0.324
5.52E-05,0.312
5.54E-05,0.328
5.56E-05,0.320
5.58E-05,0.328
5.60E-05,0.328
5.62E-05,0.316
5.64E-05,0.324
5.66E-05,0.320
5.68E-05,0.328
5.70E-05,0.328
5.72E-05,0.324
5.74E-05,0.324
5.76E-05,0.328
5.78E-05,0.320
5.80E-05,0.320
5.82E-05,0.320
5.84E-05,0.316
5.86E-05,0.324
5.88E-05,0.320
5.90E-05,0.324
5.92E-05,0.320
5.94E-05,0.320
5.96E-05,0.316
5.98E-05,0.320
6.00E-05,0.324
6.02E-05,0.324
6.04E-05,0.316
6.06E-05,0.324
6.08E-05,0.324
6.10E-05,0.320
6.12E-05,0.320
6.14E-05,0.320
6.16E-05,0.316
6.18E-05,0.320
6.20E-05,0.312
6.22E-05,0.316
6.24E-05,0.312
6.26E-05,0.312
6.28E-05,0.320
6.30E-05,0.304
6.32E-05,0.324
6.34E-05,0.312
6.36E-05,0.312
6.38E-05,0.324
6.40E-05,0.308
6.42E-05,0.320
6.44E-05,0.308
6.46E-05,0.312
6.48E-05,0.320
6.50E-05,0.312
6.52E-05,0.308
6.54E-05,0.312
6.56E-05,0.308
6.58E-05,0.312
6.60E-05,0.308
6.62E-05,0.304
6.64E-05,0.312
6.66E-05,0.300
6.68E-05,0.308
6.70E-05,0.304
6.72E-05,0.304
6.74E-05,0.308
6.76E-05,0.300
6.78E-05,0.304
6.80E-05,0.304
6.82E-05,0.296
6.84E-05,0.304
6.86E-05,0.296
6.88E-05,0.296
6.90E-05,0.296
6.92E-05,0.296
6.94E-05,0.300
6.96E-05,0.292
6.98E-05,0.292
7.00E-05,0.296
7.02E-05,0.292
7.04E-05,0.288
7.06E-05,0.296
7.08E-05,0.288
7.10E-05,0.292
7.12E-05,0.284
7.14E-05,0.284
7.16E-05,0.292
7.18E-05,0.284
7.20E-05,0.284
7.22E-05,0.284
7.24E-05,0.280
7.26E-05,0.280
7.28E-05,0.284
7.30E-05,0.280
7.32E-05,0.276
7.34E-05,0.276
7.36E-05,0.276
7.38E-05,0.280
7.40E-05,0.280
7.42E-05,0.280
7.44E-05,0.276
7.46E-05,0.272
7.48E-05,0.276
7.50E-05,0.268
7.52E-05,0.268
7.54E-05,0.268
7.56E-05,0.268
7.58E-05,0.268
7.60E-05,0.256
7.62E-05,0.268
7.64E-05,0.260
7.66E-05,0.260
7.68E-05,0.256
7.70E-05,0.252
7.72E-05,0.256
7.74E-05,0.260
7.76E-05,0.252
7.78E-05,0.252
7.80E-05,0.248
7.82E-05,0.244
7.84E-05,0.256
7.86E-05,0.244
7.88E-05,0.244
7.90E-05,0.248
7.92E-05,0.232
7.94E-05,0.248
7.96E-05,0.244
7.98E-05,0.236
8.00E-05,0.236
8.02E-05,0.236
8.04E-05,0.236
8.06E-05,0.232
8.08E-05,0.228
8.10E-05,0.232
8.12E-05,0.228
8.14E-05,0.228
8.16E-05,0.236
8.18E-05,0.220
8.20E-05,0.224
8.22E-05,0.216
8.24E-05,0.212
8.26E-05,0.220
8.28E-05,0.212
8.30E-05,0.212
8.32E-05,0.204
8.34E-05,0.208
8.36E-05,0.212
8.38E-05,0.200
8.40E-05,0.212
8.42E-05,0.200
8.44E-05,0.204
8.46E-05,0.204
8.48E-05,0.200
8.50E-05,0.200
8.52E-05,0.200
8.54E-05,0.196
8.56E-05,0.196
8.58E-05,0.192
8.60E-05,0.188
8.62E-05,0.196
8.64E-05,0.180
8.66E-05,0.184
8.68E-05,0.184
8.70E-05,0.180
8.72E-05,0.180
8.74E-05,0.180
8.76E-05,0.180
8.78E-05,0.168
8.80E-05,0.172
8.82E-05,0.176
8.84E-05,0.172
8.86E-05,0.168
8.88E-05,0.172
8.90E-05,0.168
8.92E-05,0.164
8.94E-05,0.168
8.96E-05,0.152
8.98E-05,0.160
9.00E-05,0.156
9.02E-05,0.148
9.04E-05,0.156
9.06E-05,0.148
9.08E-05,0.152
9.10E-05,0.148
9.12E-05,0.148
9.14E-05,0.144
9.16E-05,0.140
9.18E-05,0.148
9.20E-05,0.132
9.22E-05,0.136
9.24E-05,0.140
9.26E-05,0.132
9.28E-05,0.136
9.30E-05,0.136
9.32E-05,0.124
9.34E-05,0.124
9.36E-05,0.124
9.38E-05,0.116
9.40E-05,0.120
9.42E-05,0.108
9.44E-05,0.116
9.46E-05,0.116
9.48E-05,0.104
9.50E-05,0.116
9.52E-05,0.108
9.54E-05,0.108
9.56E-05,0.100
9.58E-05,0.100
9.60E-05,0.100
9.62E-05,0.100
9.64E-05,0.092
9.66E-05,0.096
9.68E-05,0.092
9.70E-05,0.088
9.72E-05,0.088
9.74E-05,0.084
9.76E-05,0.088
9.78E-05,0.080
9.80E-05,0.076
9.82E-05,0.080
9.84E-05,0.068
9.86E-05,0.076
9.88E-05,0.068
9.90E-05,0.072
9.92E-05,0.064
9.94E-05,0.064
9.96E-05,0.060
9.98E-05,0.060
1.00E-04,0.064
1.00E-04,0.060
1.00E-04,0.056
1.01E-04,0.052
1.01E-04,0.052
1.01E-04,0.052
1.01E-04,0.052
1.01E-04,0.040
1.02E-04,0.036
1.02E-04,0.040
1.02E-04,0.036
1.02E-04,0.040
1.02E-04,0.036
1.03E-04,0.028
1.03E-04,0.036
1.03E-04,0.028
1.03E-04,0.036
1.03E-04,0.024
1.04E-04,0.020
1.04E-04,0.020
1.04E-04,0.016
1.04E-04,0.016
1.04E-04,0.012
1.05E-04,0.020
1.05E-04,0.004
1.05E-04,0.004
1.05E-04,0.004
1.05E-04,0.000
1.06E-04,0.004
1.06E-04,-0.004
1.06E-04,0.004
1.06E-04,-0.008
1.06E-04,-0.004
1.07E-04,-0.008
1.07E-04,-0.016
1.07E-04,-0.016
1.07E-04,-0.024
1.07E-04,-0.012
1.08E-04,-0.020
1.08E-04,-0.020
1.08E-04,-0.020
1.08E-04,-0.028
1.08E-04,-0.032
1.09E-04,-0.024
1.09E-04,-0.024
1.09E-04,-0.032
1.09E-04,-0.028
1.09E-04,-0.040
1.10E-04,-0.040
1.10E-04,-0.044
1.10E-04,-0.044
1.10E-04,-0.036
1.10E-04,-0.052
1.11E-04,-0.040
1.11E-04,-0.048
1.11E-04,-0.056
1.11E-04,-0.052
1.11E-04,-0.056
1.12E-04,-0.056
1.12E-04,-0.060
1.12E-04,-0.068
1.12E-04,-0.064
1.12E-04,-0.064
1.13E-04,-0.076
1.13E-04,-0.064
1.13E-04,-0.072
1.13E-04,-0.076
1.13E-04,-0.072
1.14E-04,-0.080
1.14E-04,-0.076
1.14E-04,-0.084
1.14E-04,-0.080
1.14E-04,-0.084
1.15E-04,-0.092
1.15E-04,-0.088
1.15E-04,-0.100
1.15E-04,-0.092
1.15E-04,-0.096
1.16E-04,-0.104
1.16E-04,-0.092
1.16E-04,-0.096
1.16E-04,-0.100
1.16E-04,-0.100
1.17E-04,-0.104
1.17E-04,-0.108
1.17E-04,-0.108
1.17E-04,-0.120
1.17E-04,-0.112
1.18E-04,-0.116
1.18E-04,-0.124
1.18E-04,-0.112
1.18E-04,-0.128
1.18E-04,-0.124
1.19E-04,-0.128
1.19E-04,-0.124
1.19E-04,-0.124
1.19E-04,-0.128
1.19E-04,-0.132
1.20E-04,-0.128
1.20E-04,-0.136
1.20E-04,-0.144
1.20E-04,-0.136
1.20E-04,-0.144
1.21E-04,-0.136
1.21E-04,-0.144
1.21E-04,-0.156
1.21E-04,-0.152
1.21E-04,-0.160
1.22E-04,-0.156
1.22E-04,-0.156
1.22E-04,-0.156
1.22E-04,-0.156
1.22E-04,-0.160
1.23E-04,-0.164
1.23E-04,-0.168
1.23E-04,-0.164
1.23E-04,-0.164
1.23E-04,-0.172
1.24E-04,-0.164
1.24E-04,-0.172
1.24E-04,-0.176
1.24E-04,-0.172
1.24E-04,-0.176
1.25E-04,-0.184
1.25E-04,-0.184
1.25E-04,-0.188
1.25E-04,-0.184
1.25E-04,-0.188
1.26E-04,-0.188
1.26E-04,-0.184
1.26E-04,-0.200
1.26E-04,-0.188
1.26E-04,-0.196
1.27E-04,-0.200
1.27E-04,-0.196
1.27E-04,-0.196
1.27E-04,-0.200
1.27E-04,-0.200
1.28E-04,-0.204
1.28E-04,-0.204
1.28E-04,-0.204
1.28E-04,-0.216
1.28E-04,-0.204
1.29E-04,-0.216
1.29E-04,-0.208
1.29E-04,-0.216
1.29E-04,-0.216
1.29E-04,-0.216
1.30E-04,-0.220
1.30E-04,-0.216
1.30E-04,-0.224
1.30E-04,-0.228
1.30E-04,-0.228
1.31E-04,-0.232
1.31E-04,-0.228
1.31E-04,-0.228
1.31E-04,-0.228
1.31E-04,-0.228
1.32E-04,-0.240
1.32E-04,-0.236
1.32E-04,-0.236
1.32E-04,-0.236
1.32E-04,-0.240
1.33E-04,-0.240
1.33E-04,-0.248
1.33E-04,-0.244
1.33E-04,-0.248
1.33E-04,-0.248
1.34E-04,-0.248
1.34E-04,-0.252
1.34E-04,-0.240
1.34E-04,-0.256
1.34E-04,-0.252
1.35E-04,-0.252
1.35E-04,-0.252
1.35E-04,-0.256
1.35E-04,-0.256
1.35E-04,-0.256
1.36E-04,-0.260
1.36E-04,-0.256
1.36E-04,-0.260
1.36E-04,-0.256
1.36E-04,-0.268
1.37E-04,-0.264
1.37E-04,-0.260
1.37E-04,-0.268
1.37E-04,-0.264
1.37E-04,-0.268
1.38E-04,-0.272
1.38E-04,-0.272
1.38E-04,-0.272
1.38E-04,-0.272
1.38E-04,-0.272
1.39E-04,-0.272
1.39E-04,-0.276
1.39E-04,-0.276
1.39E-04,-0.276
1.39E-04,-0.272
1.40E-04,-0.280
1.40E-04,-0.284
1.40E-04,-0.280
1.40E-04,-0.280
1.40E-04,-0.284
1.41E-04,-0.288
1.41E-04,-0.280
1.41E-04,-0.292
1.41E-04,-0.288
1.41E-04,-0.284
1.42E-04,-0.296
1.42E-04,-0.288
1.42E-04,-0.288
1.42E-04,-0.296
1.42E-04,-0.292
1.43E-04,-0.292
1.43E-04,-0.300
1.43E-04,-0.292
1.43E-04,-0.300
1.43E-04,-0.292
1.44E-04,-0.296
1.44E-04,-0.304
1.44E-04,-0.296
1.44E-04,-0.296
1.44E-04,-0.292
1.45E-04,-0.300
1.45E-04,-0.304
1.45E-04,-0.300
1.45E-04,-0.304
1.45E-04,-0.300
1.46E-04,-0.312
1.46E-04,-0.312
1.46E-04,-0.308
1.46E-04,-0.312
1.46E-04,-0.300
1.47E-04,-0.312
1.47E-04,-0.308
1.47E-04,-0.304
1.47E-04,-0.312
1.47E-04,-0.304
1.48E-04,-0.308
1.48E-04,-0.304
1.48E-04,-0.304
1.48E-04,-0.308
1.48E-04,-0.316
1.49E-04,-0.308
1.49E-04,-0.316
1.49E-04,-0.312
1.49E-04,-0.308
1.49E-04,-0.316
1.50E-04,-0.308
1.50E-04,-0.312
1.50E-04,-0.316
1.50E-04,-0.316
1.50E-04,-0.312
1.51E-04,-0.312
1.51E-04,-0.312
1.51E-04,-0.316
1.51E-04,-0.312
1.51E-04,-0.312
1.52E-04,-0.312
1.52E-04,-0.312
1.52E-04,-0.312
1.52E-04,-0.316
1.52E-04,-0.312
1.53E-04,-0.316
1.53E-04,-0.316
1.53E-04,-0.312
1.53E-04,-0.316
1.53E-04,-0.312
1.54E-04,-0.316
1.54E-04,-0.316
1.54E-04,-0.316
1.54E-04,-0.316
1.54E-04,-0.316
1.55E-04,-0.316
1.55E-04,-0.312
1.55E-04,-0.312
1.55E-04,-0.316
1.55E-04,-0.316
1.56E-04,-0.320
1.56E-04,-0.320
1.56E-04,-0.320
1.56E-04,-0.324
1.56E-04,-0.316
1.57E-04,-0.324
1.57E-04,-0.320
1.57E-04,-0.320
1.57E-04,-0.324
1.57E-04,-0.308
1.58E-04,-0.312
1.58E-04,-0.312
1.58E-04,-0.312
1.58E-04,-0.312
1.58E-04,-0.316
1.59E-04,-0.308
1.59E-04,-0.316
1.59E-04,-0.308
1.59E-04,-0.316
1.59E-04,-0.316
1.60E-04,-0.308
1.60E-04,-0.316
1.60E-04,-0.308
1.60E-04,-0.316
1.60E-04,-0.312
1.61E-04,-0.308
1.61E-04,-0.312
1.61E-04,-0.308
1.61E-04,-0.312
1.61E-04,-0.308
1.62E-04,-0.308
1.62E-04,-0.312
1.62E-04,-0.308
1.62E-04,-0.308
1.62E-04,-0.304
1.63E-04,-0.304
1.63E-04,-0.308
1.63E-04,-0.304
1.63E-04,-0.300
1.63E-04,-0.300
1.64E-04,-0.296
1.64E-04,-0.304
1.64E-04,-0.300
1.64E-04,-0.296
1.64E-04,-0.308
1.65E-04,-0.300
1.65E-04,-0.296
1.65E-04,-0.300
1.65E-04,-0.292
1.65E-04,-0.296
1.66E-04,-0.296
1.66E-04,-0.296
1.66E-04,-0.296
1.66E-04,-0.300
1.66E-04,-0.288
1.67E-04,-0.300
1.67E-04,-0.288
1.67E-04,-0.296
1.67E-04,-0.288
1.67E-04,-0.292
1.68E-04,-0.288
1.68E-04,-0.284
1.68E-04,-0.292
1.68E-04,-0.292
1.68E-04,-0.284
1.69E-04,-0.288
1.69E-04,-0.280
1.69E-04,-0.284
1.69E-04,-0.284
1.69E-04,-0.280
1.70E-04,-0.284
1.70E-04,-0.276
1.70E-04,-0.284
1.70E-04,-0.272
1.70E-04,-0.272
1.71E-04,-0.276
1.71E-04,-0.272
1.71E-04,-0.268
1.71E-04,-0.276
1.71E-04,-0.272
1.72E-04,-0.272
1.72E-04,-0.272
1.72E-04,-0.264
1.72E-04,-0.276
1.72E-04,-0.264
1.73E-04,-0.268
1.73E-04,-0.268
1.73E-04,-0.252
1.73E-04,-0.264
1.73E-04,-0.256
1.74E-04,-0.256
1.74E-04,-0.260
1.74E-04,-0.256
1.74E-04,-0.256
1.74E-04,-0.256
1.75E-04,-0.248
1.75E-04,-0.252
1.75E-04,-0.248
1.75E-04,-0.248
1.75E-04,-0.252
1.76E-04,-0.244
1.76E-04,-0.248
1.76E-04,-0.244
1.76E-04,-0.240
1.76E-04,-0.240
1.77E-04,-0.236
1.77E-04,-0.244
1.77E-04,-0.236
1.77E-04,-0.236
1.77E-04,-0.236
1.78E-04,-0.232
1.78E-04,-0.236
1.78E-04,-0.232
1.78E-04,-0.228
1.78E-04,-0.228
1.79E-04,-0.228
1.79E-04,-0.224
1.79E-04,-0.228
1.79E-04,-0.220
1.79E-04,-0.220
1.80E-04,-0.220
1.80E-04,-0.220
1.80E-04,-0.224
1.80E-04,-0.212
1.80E-04,-0.220
1.81E-04,-0.208
1.81E-04,-0.208
1.81E-04,-0.216
1.81E-04,-0.204
1.81E-04,-0.204
1.82E-04,-0.204
1.82E-04,-0.200
1.82E-04,-0.200
1.82E-04,-0.204
1.82E-04,-0.196
1.83E-04,-0.192
1.83E-04,-0.192
1.83E-04,-0.192
1.83E-04,-0.196
1.83E-04,-0.192
1.84E-04,-0.188
1.84E-04,-0.192
1.84E-04,-0.184
1.84E-04,-0.184
1.84E-04,-0.184
1.85E-04,-0.184
1.85E-04,-0.176
1.85E-04,-0.176
1.85E-04,-0.176
1.85E-04,-0.164
1.86E-04,-0.168
1.86E-04,-0.168
1.86E-04,-0.172
1.86E-04,-0.168
1.86E-04,-0.168
1.87E-04,-0.156
1.87E-04,-0.164
1.87E-04,-0.160
1.87E-04,-0.156
1.87E-04,-0.156
1.88E-04,-0.148
1.88E-04,-0.156
1.88E-04,-0.144
1.88E-04,-0.152
1.88E-04,-0.148
1.89E-04,-0.132
1.89E-04,-0.148
1.89E-04,-0.132
1.89E-04,-0.132
1.89E-04,-0.140
1.90E-04,-0.132
1.90E-04,-0.132
1.90E-04,-0.136
1.90E-04,-0.128
1.90E-04,-0.128
1.91E-04,-0.124
1.91E-04,-0.124
1.91E-04,-0.120
1.91E-04,-0.116
1.91E-04,-0.116
1.92E-04,-0.108
1.92E-04,-0.116
1.92E-04,-0.108
1.92E-04,-0.116
1.92E-04,-0.116
1.93E-04,-0.108
1.93E-04,-0.112
1.93E-04,-0.100
1.93E-04,-0.100
1.93E-04,-0.104
1.94E-04,-0.096
