2.00E-07;-0.034
4.00E-07;-0.034
6.00E-07;-0.034
8.00E-07;-0.034
1.00E-06;-0.03
1.20E-06;-0.034
1.40E-06;-0.032
1.60E-06;-0.032
1.80E-06;-0.028
2.00E-06;-0.03
2.20E-06;-0.03
2.40E-06;-0.03
2.60E-06;-0.028
2.80E-06;-0.028
3.00E-06;-0.028
3.20E-06;-0.026
3.40E-06;-0.026
3.60E-06;-0.028
3.80E-06;-0.024
4.00E-06;-0.024
4.20E-06;-0.024
4.40E-06;-0.02
4.60E-06;-0.022
4.80E-06;-0.026
5.00E-06;-0.018
5.20E-06;-0.02
5.40E-06;-0.018
5.60E-06;-0.018
5.80E-06;-0.024
6.00E-06;-0.012
6.20E-06;-0.024
6.40E-06;-0.014
6.60E-06;-0.014
6.80E-06;-0.018
7.00E-06;-0.012
7.20E-06;-0.018
7.40E-06;-0.016
7.60E-06;-0.014
7.80E-06;-0.02
8.00E-06;-0.01
8.20E-06;-0.014
8.40E-06;-0.016
8.60E-06;-0.01
8.80E-06;-0.012
9.00E-06;-0.01
9.20E-06;-0.008
9.40E-06;-0.01
9.60E-06;-0.002
9.80E-06;-0.006
1.00E-05;-0.008
1.02E-05;0
1.04E-05;-0.012
1.06E-05;-0.002
1.08E-05;-0.004
1.10E-05;-0.004
1.12E-05;0
1.14E-05;-0.008
1.16E-05;0.002
1.18E-05;-0.002
1.20E-05;-0.002
1.22E-05;0.002
1.24E-05;0
1.26E-05;0.002
1.28E-05;0.006
1.30E-05;0
1.32E-05;0.002
1.34E-05;0.008
1.36E-05;-0.002
1.38E-05;0.014
1.40E-05;0.004
1.42E-05;0.006
1.44E-05;0.008
1.46E-05;0.006
1.48E-05;0.01
1.50E-05;0.006
1.52E-05;0.006
1.54E-05;0.01
1.56E-05;0
1.58E-05;0.014
1.60E-05;0.008
1.62E-05;0.01
1.64E-05;0.014
1.66E-05;0.01
1.68E-05;0.014
1.70E-05;0.018
1.72E-05;0.012
1.74E-05;0.016
1.76E-05;0.018
1.78E-05;0.016
1.80E-05;0.024
1.82E-05;0.014
1.84E-05;0.028
1.86E-05;0.016
1.88E-05;0.024
1.90E-05;0.022
1.92E-05;0.02
1.94E-05;0.028
1.96E-05;0.022
1.98E-05;0.026
2.00E-05;0.026
2.02E-05;0.026
2.04E-05;0.028
2.06E-05;0.032
2.08E-05;0.024
2.10E-05;0.032
2.12E-05;0.028
2.14E-05;0.028
2.16E-05;0.03
2.18E-05;0.028
2.20E-05;0.03
2.22E-05;0.034
2.24E-05;0.032
2.26E-05;0.03
2.28E-05;0.038
2.30E-05;0.03
2.32E-05;0.032
2.34E-05;0.036
2.36E-05;0.03
2.38E-05;0.036
2.40E-05;0.034
2.42E-05;0.034
2.44E-05;0.036
2.46E-05;0.038
2.48E-05;0.036
2.50E-05;0.04
2.52E-05;0.034
2.54E-05;0.042
2.56E-05;0.04
2.58E-05;0.042
2.60E-05;0.046
2.62E-05;0.04
2.64E-05;0.048
2.66E-05;0.036
2.68E-05;0.048
2.70E-05;0.042
2.72E-05;0.046
2.74E-05;0.046
2.76E-05;0.044
2.78E-05;0.05
2.80E-05;0.046
2.82E-05;0.05
2.84E-05;0.048
2.86E-05;0.056
2.88E-05;0.048
2.90E-05;0.054
2.92E-05;0.05
2.94E-05;0.054
2.96E-05;0.054
2.98E-05;0.054
3.00E-05;0.056
3.02E-05;0.052
3.04E-05;0.058
3.06E-05;0.056
3.08E-05;0.056
3.10E-05;0.056
3.12E-05;0.058
3.14E-05;0.062
3.16E-05;0.058
3.18E-05;0.062
3.20E-05;0.062
3.22E-05;0.06
3.24E-05;0.062
3.26E-05;0.062
3.28E-05;0.062
3.30E-05;0.062
3.32E-05;0.062
3.34E-05;0.06
3.36E-05;0.066
3.38E-05;0.06
3.40E-05;0.066
3.42E-05;0.062
3.44E-05;0.068
3.46E-05;0.062
3.48E-05;0.062
3.50E-05;0.066
3.52E-05;0.064
3.54E-05;0.068
3.56E-05;0.066
3.58E-05;0.066
3.60E-05;0.068
3.62E-05;0.068
3.64E-05;0.066
3.66E-05;0.072
3.68E-05;0.068
3.70E-05;0.072
3.72E-05;0.072
3.74E-05;0.072
3.76E-05;0.072
3.78E-05;0.074
3.80E-05;0.072
3.82E-05;0.072
3.84E-05;0.076
3.86E-05;0.068
3.88E-05;0.076
3.90E-05;0.074
3.92E-05;0.076
3.94E-05;0.078
3.96E-05;0.074
3.98E-05;0.078
4.00E-05;0.082
4.02E-05;0.076
4.04E-05;0.08
4.06E-05;0.076
4.08E-05;0.08
4.10E-05;0.082
4.12E-05;0.08
4.14E-05;0.078
4.16E-05;0.082
4.18E-05;0.076
4.20E-05;0.084
4.22E-05;0.078
4.24E-05;0.086
4.26E-05;0.078
4.28E-05;0.082
4.30E-05;0.082
4.32E-05;0.08
4.34E-05;0.084
4.36E-05;0.084
4.38E-05;0.086
4.40E-05;0.084
4.42E-05;0.088
4.44E-05;0.084
4.46E-05;0.088
4.48E-05;0.082
4.50E-05;0.086
4.52E-05;0.084
4.54E-05;0.084
4.56E-05;0.088
4.58E-05;0.084
4.60E-05;0.088
4.62E-05;0.084
4.64E-05;0.09
4.66E-05;0.086
4.68E-05;0.088
4.70E-05;0.088
4.72E-05;0.09
4.74E-05;0.09
4.76E-05;0.09
4.78E-05;0.092
4.80E-05;0.096
4.82E-05;0.09
4.84E-05;0.092
4.86E-05;0.09
4.88E-05;0.09
4.90E-05;0.092
4.92E-05;0.092
4.94E-05;0.088
4.96E-05;0.096
